model,seed,batch_size,history_count,query_count,repeat,model_only_ms,end_to_end_ms,preprocess_ms,model_stage_ms,reconstruct_ms
cru,17,1,16,6,9,36.14736907184124,35.50749458372593,0.2278955653309822,35.5517016723752,0.10539405047893524
cru,17,1,16,6,10,37.14704141020775,35.78553814440966,0.22980570793151855,35.83135828375816,0.11058896780014038
cru,17,1,16,6,11,38.07487338781357,35.98399367183447,0.22611860185861588,35.60300264507532,0.10543130338191986
cru,17,1,16,6,12,36.82262450456619,37.36688382923603,0.24307426065206528,36.945379339158535,0.1128464937210083
cru,17,1,16,6,13,37.84387465566397,36.4279905334115,0.24688895791769028,37.55237255245447,0.11178199201822281
cru,17,1,16,6,14,36.78348194807768,34.300122410058975,0.20287930965423584,34.22662243247032,0.08814875036478043
cru,17,1,16,6,15,33.78257714211941,36.06867138296366,0.2052411437034607,35.407956689596176,0.09170081466436386
cru,17,1,16,6,16,35.23910604417324,33.961779437959194,0.20520202815532684,34.96025502681732,0.09093061089515686
cru,17,1,16,6,17,35.94639338552952,34.36953108757734,0.20260829478502274,34.33550335466862,0.0803731381893158
cru,17,1,16,6,18,33.93964283168316,34.50473863631487,0.21434109658002853,34.860349260270596,0.08420273661613464
cru,17,1,16,6,19,34.37559958547354,34.38237961381674,0.19994936883449554,33.32764096558094,0.09485706686973572
cru,17,1,16,6,20,33.50050654262304,35.104865208268166,0.20723603665828705,34.17065180838108,0.08349772542715073
cru,17,1,16,6,21,34.50844716280699,35.14081984758377,0.19694771617650986,33.7749058380723,0.08592754602432251
cru,17,1,16,6,22,36.06752026826143,33.93475618213415,0.20216312259435654,33.711821772158146,0.08496269583702087
cru,17,1,16,6,23,34.914733842015266,35.05838382989168,0.211997888982296,36.160118877887726,0.08449144661426544
cru,17,1,16,6,24,34.95971020311117,34.75309535861015,0.19993353635072708,34.98517535626888,0.08606072515249252
cru,17,1,16,6,25,34.03561469167471,36.305916495621204,0.21592527627944946,35.68026702851057,0.09330641478300095
cru,17,1,16,6,26,35.404990427196026,34.69076007604599,0.2138689160346985,34.51536409556866,0.09285099804401398
cru,17,1,16,6,27,34.95185915380716,32.7153941616416,0.19542686641216278,33.638061955571175,0.08385907858610153
cru,17,1,16,6,28,33.274549059569836,35.54200194776058,0.19890163093805313,32.92281553149223,0.08379854261875153
cru,17,1,16,6,29,34.04350392520428,35.19374970346689,0.20452775061130524,33.618006855249405,0.08636247366666794
cru,17,1,16,6,30,33.952281810343266,34.77817960083485,0.1965416595339775,32.75842498987913,0.08298736065626144
cru,17,1,16,6,31,33.76855328679085,33.33560284227133,0.18628593534231186,32.84818306565285,0.0831708312034607
cru,17,1,16,6,32,33.51933974772692,33.63146632909775,0.1856200397014618,33.55276957154274,0.08596759289503098
cru,17,1,16,6,33,34.82690639793873,34.139955416321754,0.1862095668911934,32.48855844140053,0.08020177483558655
cru,17,1,16,6,34,34.23852287232876,34.595465287566185,0.18514227122068405,34.23228580504656,0.08013565093278885
cru,17,1,16,6,35,33.78888312727213,33.79666339606047,0.18629338592290878,36.426824517548084,0.10219123214483261
cru,17,1,16,6,36,35.902935080230236,33.73450879007578,0.19402243196964264,34.45910941809416,0.09089894592761993
cru,17,1,16,6,37,35.194575786590576,34.114050678908825,0.20405463874340057,34.66260898858309,0.09264703840017319
cru,17,1,16,6,38,34.991974011063576,34.29686930030584,0.2164803445339203,35.654000006616116,0.10393746197223663
cru,17,1,16,6,39,33.69702026247978,35.396357998251915,0.2020886167883873,34.89706479012966,0.08940603584051132
cru,17,1,16,6,40,34.306010231375694,34.2262489721179,0.20080804824829102,34.93711166083813,0.08540134876966476
cru,17,1,16,6,41,35.40370985865593,34.83076021075249,0.20136404782533646,36.16921044886112,0.10171346366405487
cru,17,1,16,6,42,34.01726204901934,34.281850792467594,0.21578650921583176,35.21187696605921,0.08705724030733109
cru,17,1,16,6,43,36.0993891954422,34.421635791659355,0.1990627497434616,36.4046273753047,0.09261909872293472
cru,17,1,16,6,44,36.650849506258965,36.22013330459595,0.2387668937444687,36.840674467384815,0.11129025369882584
cru,17,1,16,6,45,35.5272451415658,34.360590390861034,0.2147667109966278,34.292660653591156,0.08026044815778732
cru,17,1,16,6,46,33.093878999352455,33.3623681217432,0.18640421330928802,34.48768425732851,0.09192433208227158
cru,17,1,16,6,47,33.15714281052351,33.64024683833122,0.1840498298406601,33.268388360738754,0.08589215576648712
cru,17,1,16,6,48,32.68785774707794,35.04052944481373,0.21162163466215134,33.735714852809906,0.08053891360759735
cru,17,1,16,6,49,32.32019953429699,33.551109954714775,0.19416306167840958,33.43544900417328,0.10229647159576416
cru,17,1,32,1,0,67.02675949782133,65.78490231186152,0.19045453518629074,65.5049066990614,0.08353870362043381
cru,17,1,32,1,1,65.42001664638519,66.15731678903103,0.20142272114753723,64.59101382642984,0.09154435247182846
cru,17,1,32,1,2,66.83728843927383,65.12853782624006,0.19789580255746841,65.61137549579144,0.08317362517118454
cru,17,1,32,1,3,66.22590031474829,65.12573920190334,0.2197595313191414,63.71055915951729,0.08584652096033096
cru,17,1,32,1,4,66.15565065294504,63.96567728370428,0.20313356071710587,64.27031941711903,0.09302515536546707
cru,17,1,32,1,5,65.18676411360502,64.89333137869835,0.1951875165104866,66.93893298506737,0.08166860789060593
cru,17,1,32,1,6,65.94465672969818,65.7650250941515,0.19602105021476746,67.14210100471973,0.08108187466859818
cru,17,1,32,1,7,65.00488054007292,65.18179271370173,0.2142246812582016,67.75747891515493,0.09658653289079666
cru,17,1,32,1,8,64.66053519397974,66.64026901125908,0.20906329154968262,67.13543552905321,0.09917002171278
cru,17,1,32,1,9,66.13034754991531,67.15676095336676,0.208171084523201,65.63905626535416,0.08192658424377441
cru,17,1,32,1,10,66.9600497931242,64.92488738149405,0.22139959037303925,66.108088940382,0.08698925375938416
cru,17,1,32,1,11,67.311005666852,67.11899396032095,0.21746661514043808,67.50976946204901,0.10686274617910385
cru,17,1,32,1,12,68.36846098303795,66.79938081651926,0.21301209926605225,64.0066210180521,0.07899012416601181
cru,17,1,32,1,13,66.12077262252569,64.52629435807467,0.1985561102628708,66.29613786935806,0.0804997980594635
cru,17,1,32,1,14,66.1341268569231,67.8735040128231,0.2014562487602234,66.59725680947304,0.08661486208438873
cru,17,1,32,1,15,68.60121991485357,69.44688595831394,0.2502789720892906,70.76046895235777,0.100000761449337
cru,17,1,32,1,16,64.8801401257515,64.0366543084383,0.20706746727228165,67.08502303808928,0.08077826350927353
cru,17,1,32,1,17,65.06466213613749,63.51268291473389,0.19713956862688065,66.42302311956882,0.0798683613538742
cru,17,1,32,1,18,64.05698042362928,65.19021466374397,0.1985747367143631,65.40775671601295,0.07961038500070572
cru,17,1,32,1,19,64.47450816631317,65.5243219807744,0.21274108439683914,64.98208455741405,0.08173659443855286
cru,17,1,32,1,20,64.87738527357578,68.94057709723711,0.21877046674489975,68.5704629868269,0.09343121200799942
cru,17,1,32,1,21,67.48883705586195,66.41102116554976,0.25413744151592255,65.1797316968441,0.08783303201198578
cru,17,1,32,1,22,65.2977954596281,67.43060797452927,0.2204645425081253,68.1235147640109,0.08237920701503754
cru,17,1,32,1,23,68.68655886501074,68.60497314482927,0.23770052939653397,69.71673667430878,0.10963063687086105
cru,17,1,32,1,24,69.15838830173016,69.83266025781631,0.2404944971203804,68.35140474140644,0.08887983858585358
