model,case,group,n,nmse,nmse_db,median_db,energy_weighted_db
Hold,all_sparse,los,8656,0.26357163585023774,-5.791013279798532,-12.06489305693092,-0.39635366588415105
Linear,all_sparse,los,8656,18.344517338958255,12.63506289556963,-7.802551410455704,4.903713212774042
W,all_sparse,nlos,1700,35.93376541137695,15.55502728245582,0.17220956107875224,0.14083578563544255
Hold,all_sparse,nlos,1700,180.29732903682776,22.559892930387683,3.0091847926061104,0.904248029274314
Linear,all_sparse,nlos,1700,6573.902761780559,38.17823275904039,8.699704289774523,12.339820439637354
W,all_sparse,switch_window,1616,36.4333610534668,15.614992376608663,-0.2738772187605218,-0.03497546479750871
Hold,all_sparse,switch_window,1616,161.23280806880115,22.074534178257533,-0.08198682852335368,-0.03275337825415132
Linear,all_sparse,switch_window,1616,2417.606623235078,33.83385636782552,2.3393640449733,2.665591805410783
W,csi_32,all,10356,5.700393199920654,7.559048133332313,-7.244626265337935,-0.3594280916143438
Hold,csi_32,all,10356,29.817200771849233,14.744668696199295,-9.804484711189883,-0.31435795153628565
Linear,csi_32,all,10356,33563.60432399959,45.258685926206624,1.872681262849816,14.447883371204979
W,csi_32,near,5184,0.46575960516929626,-3.3183818006240244,-6.625809655818422,-3.966570490410458
Hold,csi_32,near,5184,1.3356931952523623,1.2570671344597952,-7.275039480857278,-3.4062027411316445
Linear,csi_32,near,5184,643.7364861866608,28.087081250998644,3.0027173815614274,20.210684790860757
W,csi_32,far,5172,10.947172164916992,10.393019482373639,-8.000840889299935,-0.1808706758675916
Hold,csi_32,far,5172,58.36479073261454,17.661509326961635,-13.07093034682255,-0.15285659640333882
Linear,csi_32,far,5172,66559.85236561256,48.23212349988333,0.6104557950394819,13.445967322090087
W,csi_32,normal,2592,0.22828525304794312,-6.415221425034611,-8.033841135170187,-6.3223865603119025
Hold,csi_32,normal,2592,0.22816611446561377,-6.417488533153675,-11.11136398049796,-6.323077730045665
Linear,csi_32,normal,2592,127.47380334494224,21.054209437371565,2.246675174999015,21.04239972936915
W,csi_32,maneuver,2592,0.12452805787324905,-9.047327850609628,-9.59967340017125,-8.949614577670978
Hold,csi_32,maneuver,2592,0.08847604566508674,-10.531742958970764,-15.52018718587627,-10.34168168115021
Linear,csi_32,maneuver,2592,31.51195665888588,14.984753704788067,-4.785550091168181,14.892319524170858
W,csi_32,occlusion,5172,11.23719596862793,10.506579547138404,-2.9684622785715336,-0.1407365161119593
Hold,csi_32,occlusion,5172,59.54489456964653,17.74844530633533,-4.474116629258062,-0.09004668385698164
Linear,csi_32,occlusion,5172,67125.40512169564,48.268869198113144,4.881871833381403,13.916456400629869
W,csi_32,far_maneuver,1296,0.09687231481075287,-10.138003224627695,-10.434073932974556,-10.1271757229929
Hold,csi_32,far_maneuver,1296,0.02156674046793807,-16.662154878950076,-19.31883437875632,-16.7482572794521
