model,group,query_s,n,nmse,nmse_db,median_db,energy_weighted_db
WM,near,0.20000000298023224,648,0.36058422923088074,-4.429932718115689,-8.104376257434996,-5.098632660055133
WM,near,0.30000001192092896,648,0.45083487033843994,-3.4598250032360935,-7.462843577062294,-4.30818403325503
WM,near,0.4000000059604645,648,0.6005851030349731,-2.2142544428146786,-6.292574048897559,-3.5562253483301243
WM,near,0.5,648,0.7584848403930664,-1.2005309490286995,-5.375852783022728,-2.8015180448763055
WM,far,0.009999999776482582,648,0.3956849277019501,-4.026504924191924,-15.63509780129298,-3.8836764063065594
WM,far,0.019999999552965164,648,1.186901569366455,0.744147040822183,-14.091511124981604,-1.8589173568656279
WM,far,0.05000000074505806,648,3.2870736122131348,5.168094299775763,-10.328126089861678,-0.6489031051975557
WM,far,0.10000000149011612,648,1.3752682209014893,1.3838740761893187,-9.882954737224473,-0.3289198578344067
WM,far,0.20000000298023224,648,0.5898500680923462,-2.292583661122277,-7.402361255528426,-0.1515839828603592
WM,far,0.30000001192092896,646,0.6034640669822693,-2.19348584681663,-7.050353676790135,-0.10466560034930127
WM,far,0.4000000059604645,644,1.400958776473999,1.4642535626131612,-7.202161737481298,-0.08910181946755573
WM,far,0.5,642,1.2629930973052979,1.0140097699205965,-6.566505638302501,-0.07603467670472579
WM,normal,0.009999999776482582,324,0.20792166888713837,-6.821002476203262,-12.824975404478192,-6.609991247814605
WM,normal,0.019999999552965164,324,0.21619373559951782,-6.65156894258644,-12.990744746882829,-6.559541022338218
WM,normal,0.05000000074505806,324,0.10332714766263962,-9.857855591085334,-14.233356541364106,-9.685572761176363
WM,normal,0.10000000149011612,324,0.11526978760957718,-9.382845070489482,-13.05432882302738,-9.244216239669527
WM,normal,0.20000000298023224,324,0.1522539258003235,-8.1743150045905,-11.228642619381477,-8.027661656842959
WM,normal,0.30000001192092896,324,0.15794935822486877,-8.0148213436766,-10.63676912489055,-7.845181802931257
WM,normal,0.4000000059604645,324,0.16459843516349792,-7.835742979395959,-10.258606891914726,-7.683081200362995
WM,normal,0.5,324,0.19788502156734467,-7.035870774299639,-9.638438404271982,-6.911559815664194
WM,maneuver,0.009999999776482582,324,0.025188451632857323,-15.987985283325227,-21.878998163739332,-15.958266469477156
WM,maneuver,0.019999999552965164,324,0.05124429985880852,-12.903544361754925,-19.01531177983106,-12.773429154370529
WM,maneuver,0.05000000074505806,324,0.05595385655760765,-12.521699748377378,-15.496310799960476,-12.469226096953898
WM,maneuver,0.10000000149011612,324,0.07968305796384811,-10.986340075243472,-14.839404837335886,-11.00734966610461
WM,maneuver,0.20000000298023224,324,0.10555078834295273,-9.765385186640875,-13.756291299620848,-9.783181435663948
WM,maneuver,0.30000001192092896,324,0.12545545399188995,-9.01510453623226,-12.943152831631636,-9.04810796251605
WM,maneuver,0.4000000059604645,324,0.16180573403835297,-7.910060920124331,-11.60770160063753,-7.922745182330012
WM,maneuver,0.5,324,0.2031724900007248,-6.921350968295588,-9.87351117196242,-6.909188050838346
WM,occlusion,0.009999999776482582,648,0.49084219336509705,-3.0905811188223593,-12.100019429685894,-3.422214278158928
WM,occlusion,0.019999999552965164,648,1.4227954149246216,1.531424569662698,-7.679770556711555,-1.3722359519064038
WM,occlusion,0.05000000074505806,648,3.4627017974853516,5.394150923918105,-4.384611309364957,-0.5351227336093335
WM,occlusion,0.10000000149011612,648,1.5625284910202026,1.9382794497934386,-2.675617876158334,-0.26652750500938494
WM,occlusion,0.20000000298023224,648,0.8215319514274597,-0.8537554110440497,-1.2451882766514613,-0.12780843031248768
WM,occlusion,0.30000001192092896,646,0.9135535955429077,-0.392659687649179,-0.8086546990012737,-0.08566613453719571
WM,occlusion,0.4000000059604645,644,1.841058611869812,2.6506761490620914,-0.46845902892114094,-0.072129215643054
WM,occlusion,0.5,642,1.8261635303497314,2.6153966539353335,-0.2544278789649845,-0.059370393515703154
WM,far_maneuver,0.009999999776482582,162,0.020618543028831482,-16.85742026583757,-22.185988322508436,-16.939412442516005
WM,far_maneuver,0.019999999552965164,162,0.01843499019742012,-17.34357088988566,-19.04383842263862,-17.373831625030064
WM,far_maneuver,0.05000000074505806,162,0.04636658728122711,-13.33794868293853,-16.79418502048677,-13.455253504302815
WM,far_maneuver,0.10000000149011612,162,0.08312978595495224,-10.802433377310276,-16.565580818438637,-10.974016489206937
WM,far_maneuver,0.20000000298023224,162,0.12144208699464798,-9.156307779895096,-17.056741887559376,-9.390256257461738
WM,far_maneuver,0.30000001192092896,162,0.15018633008003235,-8.233695949016472,-15.468486605636574,-8.518279059371034
WM,far_maneuver,0.4000000059604645,162,0.17255271971225739,-7.6307819112927655,-15.139227847776464,-7.961501340427506
WM,far_maneuver,0.5,162,0.201398566365242,-6.959436252515195,-15.476941780472465,-7.344711405955053
WM,far_normal,0.009999999776482582,162,0.0916847214102745,-10.377030303065267,-18.89487099358003,-10.078213934496015
WM,far_normal,0.019999999552965164,162,0.08500001579523087,-10.705809935824018,-15.490918997723899,-10.433347376801606
WM,far_normal,0.05000000074505806,162,0.07055860757827759,-11.51449998270757,-18.548112745447455,-11.15165392806145
WM,far_normal,0.10000000149011612,162,0.06796954572200775,-11.676856326977852,-15.424180819869598,-11.429887888706487
WM,far_normal,0.20000000298023224,162,0.09555385261774063,-10.19751798018753,-14.096186220875108,-9.969023241705418
WM,far_normal,0.30000001192092896,162,0.09110499173402786,-10.404578269441025,-12.927754647260985,-10.205601839376603
WM,far_normal,0.4000000059604645,162,0.08424283564090729,-10.744670230847724,-12.88345159987818,-10.615454714405864
WM,far_normal,0.5,162,0.09738093614578247,-10.11526054795327,-11.603826648496359,-10.032526135007807
WM,far_occlusion,0.009999999776482582,324,0.7352182269096375,-1.33583734826304,-5.7947108424417895,-1.7361590136942018
WM,far_occlusion,0.019999999552965164,324,2.3220856189727783,3.6587822882284007,-6.558550294971237,-0.7105543018950867
WM,far_occlusion,0.05000000074505806,324,6.515684604644775,8.139600538781075,-1.6959169997890633,-0.2347029290643769
WM,far_occlusion,0.10000000149011612,324,2.6749870777130127,4.273216883791211,-0.9273502623432193,-0.10942569517749565
WM,far_occlusion,0.20000000298023224,324,1.071202278137207,0.2987148762359965,-0.33565499114714686,-0.049612677285716604
WM,far_occlusion,0.30000001192092896,322,1.0892813205718994,0.37140056242390534,-0.15120979514760596,-0.03066431646002242
WM,far_occlusion,0.4000000059604645,320,2.689426898956299,4.2965974426338995,-0.062426856681542145,-0.02616290251255237
WM,far_occlusion,0.5,318,2.3976075649261475,3.7977810022475,-0.0023661042134829166,-0.019676684807502506
WM,near_maneuver,0.009999999776482582,162,0.029758358374238014,-15.263910304068848,-21.14305811619841,-15.156089809609714
WM,near_maneuver,0.019999999552965164,162,0.08405361324548721,-10.754436126367864,-18.0042172406051,-10.588478847843199
WM,near_maneuver,0.05000000074505806,162,0.06554112583398819,-11.834861027874977,-15.186499320697562,-11.663978070914588
WM,near_maneuver,0.10000000149011612,162,0.07623632997274399,-11.178380188617254,-14.079458346655908,-11.041101862603961
WM,near_maneuver,0.20000000298023224,162,0.08965947479009628,-10.47403809485742,-11.952459201889463,-10.219021345618888
WM,near_maneuver,0.30000001192092896,162,0.10072458535432816,-9.968645117648304,-10.669283937254061,-9.660244099199986
WM,near_maneuver,0.4000000059604645,162,0.15105871856212616,-8.208542037627623,-9.001130758975522,-7.8836050874844785
WM,near_maneuver,0.5,162,0.20494642853736877,-6.883596454373925,-8.18706723633522,-6.503640709575484
WM,near_normal,0.009999999776482582,162,0.324158638715744,-4.892424001089363,-5.504915597830728,-4.716514015727544
WM,near_normal,0.019999999552965164,162,0.3473874628543854,-4.591858592090387,-4.166204490235017,-4.552827846237671
WM,near_normal,0.05000000074505806,162,0.13609568774700165,-8.661556353943986,-10.123318429520475,-8.587718868571553
WM,near_normal,0.10000000149011612,162,0.162570059299469,-7.889594358535561,-8.40320240769836,-7.789428653980873
WM,near_normal,0.20000000298023224,162,0.20895399153232574,-6.799493283542569,-7.050256224652836,-6.678423057530168
WM,near_normal,0.30000001192092896,162,0.22479373216629028,-6.482158021934689,-6.169989353856643,-6.306434291309033
WM,near_normal,0.4000000059604645,162,0.24495404958724976,-6.1091537637969004,-6.121600764269573,-5.926847021058952
WM,near_normal,0.5,162,0.29838910698890686,-5.252170352910545,-5.260473114202656,-5.089764132959566
WM,near_occlusion,0.009999999776482582,324,0.24646617472171783,-6.082426753307888,-13.312081470160441,-7.475970126146327
WM,near_occlusion,0.019999999552965164,324,0.5235052108764648,-2.81078991074668,-8.33569548633466,-4.205484551629352
WM,near_occlusion,0.05000000074505806,324,0.40971991419792175,-3.8751292690337507,-6.536188611298504,-4.647500006427584
WM,near_occlusion,0.10000000149011612,324,0.4500701427459717,-3.467197968166069,-6.02935197074838,-4.02707477550725
WM,near_occlusion,0.20000000298023224,324,0.571861743927002,-2.4270895566021737,-5.244772774077779,-3.6204300847249855
WM,near_occlusion,0.30000001192092896,324,0.7389106154441833,-1.314080941724354,-4.374849163331,-2.8771819824924556
WM,near_occlusion,0.4000000059604645,324,1.0031638145446777,0.013718581885936807,-3.4637231273495535,-2.31698890669116
WM,near_occlusion,0.5,324,1.2653019428253174,1.0219417488370706,-2.776708861779167,-1.7825567569730303
WM,los,0.009999999776482582,1087,0.1330658495426178,-8.759333889897626,-19.574474184980467,-8.839108494659037
WM,los,0.019999999552965164,1084,0.2151673585176468,-6.672236116807559,-16.1091713986543,-6.534281812533205
WM,los,0.05000000074505806,1085,0.15433445572853088,-8.115371052896036,-13.187563657521476,-1.3372128120490254
WM,los,0.10000000149011612,1084,0.1903572827577591,-7.204305031364325,-12.759264778386505,-0.7056900245602356
WM,los,0.20000000298023224,1082,0.23032790422439575,-6.376534440741537,-11.079353407740637,-0.3351756808420772
WM,los,0.30000001192092896,1080,0.2519623935222626,-5.986642747126493,-9.79054819971466,-0.2374191776052319
WM,los,0.4000000059604645,1078,0.27760234475135803,-5.565768699597056,-9.113958304727452,-0.20316058902336243
WM,los,0.5,1076,0.3210797905921936,-4.933870289414479,-8.194280181152644,-0.1662745894175806
WM,nlos,0.009999999776482582,209,1.1911524534225464,0.7596734959608606,-1.7490659999915676,0.8808525202294087
WM,nlos,0.019999999552965164,212,3.657452344894409,5.631786761550451,0.05164075319055063,0.09470885992952044
WM,nlos,0.05000000074505806,211,10.085237503051758,10.036861301194612,0.4555216630328212,-0.15164590385011795
