model,group,n,nmse,nmse_db,median_db,energy_weighted_db
WMI,far_occlusion,2580,2.164854049682617,3.354286223734096,-0.4541806835756123,-0.06005143390474808
WMI amplitude,far_occlusion,2580,1.6680653095245361,2.222130505048717,-2.825945247999266,-0.11636438001772983
WMI phase aligned,far_occlusion,2580,1.9182795286178589,2.829118921416827,-1.5425629682230073,-0.0983600990075418
WMI,near_maneuver,1296,0.09560524672269821,-10.195182734122842,-12.574261125224544,-9.927902264471554
WMI amplitude,near_maneuver,1296,0.03436705097556114,-14.638577329192007,-16.800688924648927,-14.460195198602761
WMI phase aligned,near_maneuver,1296,0.09421896934509277,-10.258616507896459,-12.650011628333361,-9.991166924504132
WMI,near_normal,1296,0.24517224729061127,-6.105286921091343,-6.722104027042933,-5.975018167910884
WMI amplitude,near_normal,1296,0.11484570056200027,-9.398852586940261,-9.709620373092086,-9.263294039175074
WMI phase aligned,near_normal,1296,0.2367941290140152,-6.256290695522635,-6.974317659093727,-6.13069356932339
WMI,near_occlusion,2592,0.5370877385139465,-2.6995476227078092,-5.2784646289569706,-3.3537104001413116
WMI amplitude,near_occlusion,2592,0.31167206168174744,-5.063021261840416,-7.896500061459295,-4.465603216541057
WMI phase aligned,near_occlusion,2592,0.3933841586112976,-4.051831328920785,-6.154164921285963,-3.9357614066622704
WMI,los,8656,0.22287632524967194,-6.519360614412283,-11.770508855952645,-0.4102570474028749
WMI amplitude,los,8656,0.15227389335632324,-8.173745480307023,-14.900171536117918,-0.46916264430269705
WMI phase aligned,los,8656,0.2083284705877304,-6.8125137443908805,-11.876696838880495,-0.4293871373401169
WMI,nlos,1700,3.3667914867401123,5.2721622034939175,0.03288548256093569,0.05138034110325761
WMI amplitude,nlos,1700,2.4406628608703613,3.8750779261841064,-1.3644159464736358,-0.5256041658759683
WMI phase aligned,nlos,1700,2.837902784347534,4.529975141149142,-0.6107343209443382,-0.4296294695249744
WMI,switch_window,1616,2.408771276473999,3.817955637670663,-0.4541743608425272,-0.06525317007487368
WMI amplitude,switch_window,1616,1.762802004814148,2.462035357562082,-2.9807190406587254,-0.09859391425003664
WMI phase aligned,switch_window,1616,2.0836145877838135,3.1881738934994526,-1.5483551948551268,-0.08486122289883066
