model,group,n,nmse,nmse_db,median_db,energy_weighted_db
Hold amplitude,normal,2592,0.08950789272785187,-10.481386672872166,-16.100656879409264,-10.356588601493275
Hold phase aligned,normal,2592,0.21499913930892944,-6.67563278661747,-11.243641291455443,-6.593814031625035
W,maneuver,2592,0.12580914795398712,-9.002877789106787,-9.6006741363345,-8.909680167972912
W amplitude,maneuver,2592,0.09724840521812439,-10.121175119626393,-10.395872275795579,-10.074931499396202
W phase aligned,maneuver,2592,0.12504906952381134,-9.029195354582903,-9.637056575244,-8.936508122747174
Hold,maneuver,2592,0.0884760457196348,-10.531742956293213,-15.520187215492758,-10.347454224067956
Hold amplitude,maneuver,2592,0.022752616554498672,-16.42968652200831,-22.293984031899686,-16.328768668167122
Hold phase aligned,maneuver,2592,0.0874575525522232,-10.582026802948041,-15.543796022005996,-10.398017615504973
W,occlusion,5172,11.156698226928711,10.475356861796385,-3.0796912302179087,-0.13627988074317873
W amplitude,occlusion,5172,10.24986457824707,10.107181275080126,-6.147581724002842,-0.22533973794351278
W phase aligned,occlusion,5172,10.785143852233887,10.328259420963983,-4.733316930182528,-0.18848654938671905
Hold,occlusion,5172,59.54489515332581,17.74844534890635,-4.474116413257328,-0.0855601421453274
Hold amplitude,occlusion,5172,56.87213134765625,17.548995042356623,-12.496527951196237,-0.5545100247413433
Hold phase aligned,occlusion,5172,58.494266510009766,17.671132994993712,-8.554310126659214,-0.3227731324378189
W,far_maneuver,1296,0.09814649075269699,-10.08125224071976,-10.4044777584245,-10.070371758884018
W amplitude,far_maneuver,1296,0.09036944061517715,-10.439784059841642,-10.709963192177783,-10.419446463342366
W phase aligned,far_maneuver,1296,0.09794104099273682,-10.090352842773813,-10.41224491294916,-10.079114757301596
Hold,far_maneuver,1296,0.021566740496157238,-16.662154873267514,-19.318834004487307,-16.747297419946477
Hold amplitude,far_maneuver,1296,0.009000548161566257,-20.457310398613572,-23.948678709294256,-20.5616684932864
Hold phase aligned,far_maneuver,1296,0.02138078771531582,-16.699762984671366,-19.3573592540043,-16.784646852348118
W,far_normal,1296,0.14991319179534912,-8.241601491940923,-9.137588158310106,-8.139051799240068
W amplitude,far_normal,1296,0.11516401171684265,-9.386832149632713,-10.008896016793932,-9.327055512362776
W phase aligned,far_normal,1296,0.14760220050811768,-8.309071678421837,-9.191292467091717,-8.212299095920937
Hold,far_normal,1296,0.08742774889713423,-10.583507037474755,-15.55215808931507,-10.37388079017376
Hold amplitude,far_normal,1296,0.040316369384527206,-13.94518584381468,-19.03760459015537,-13.737595769966958
Hold phase aligned,far_normal,1296,0.08454475551843643,-10.72913327392622,-15.559962742056685,-10.52818297540004
W,far_occlusion,2580,21.655649185180664,13.355712073831432,-0.7893415712521058,-0.05284752896906813
W amplitude,far_occlusion,2580,20.1381778717041,13.040201724706332,-4.667823996830108,-0.12469976076560822
W phase aligned,far_occlusion,2580,21.120363235473633,13.247013830760404,-3.0333282274540077,-0.09514753980832778
Hold,far_occlusion,2580,116.94629604475926,20.67986471268762,-1.770762089862916,-0.01597498113489728
Hold amplitude,far_occlusion,2580,112.53821563720703,20.513000248657946,-13.093141241746418,-0.4148126562043561
Hold phase aligned,far_occlusion,2580,115.51775360107422,20.62648734864211,-9.396682266755157,-0.20023525718942917
W,near_maneuver,1296,0.15347181260585785,-8.139713775408374,-8.718622371685715,-7.986619524539917
W amplitude,near_maneuver,1296,0.10412736237049103,-9.824351324967509,-10.017004345654284,-9.752740612140915
W phase aligned,near_maneuver,1296,0.15215709805488586,-8.177077832061356,-8.755039221704752,-8.024787312872999
Hold,near_maneuver,1296,0.15538535094311237,-8.085899270052014,-10.270539379312225,-7.8470519286685185
Hold amplitude,near_maneuver,1296,0.036504682153463364,-14.376514286119871,-18.994867582501854,-14.21017278694433
Hold phase aligned,near_maneuver,1296,0.15353430807590485,-8.137945638792727,-10.311106754996178,-7.899336994450464
W,near_normal,1296,0.30938956141471863,-5.094943431785483,-5.308411902453821,-5.005888836029656
W amplitude,near_normal,1296,0.21008731424808502,-6.776001709086041,-7.046549089631769,-6.711878130227218
W phase aligned,near_normal,1296,0.300521582365036,-5.221243330939789,-5.606781689992058,-5.1372969774921176
Hold,near_normal,1296,0.3689044796560662,-4.3308607104563315,-5.675526811656773,-4.2590491344449175
Hold amplitude,near_normal,1296,0.13869941234588623,-8.579253789806412,-11.12408879885394,-8.4684828251935
Hold phase aligned,near_normal,1296,0.34545353055000305,-4.616103644490435,-6.112317823735386,-4.552951545809486
W,near_occlusion,2592,0.706356406211853,-1.5097611170377465,-4.7372556378870705,-2.8145525089505545
W amplitude,near_occlusion,2592,0.4073326289653778,-3.9005079980342354,-7.063294185214989,-3.754546625448229
W phase aligned,near_occlusion,2592,0.4977731704711914,-3.029685151808646,-5.642578922881432,-3.3356879207697427
Hold,near_occlusion,2592,2.409241488241575,3.8188033331277116,-6.094143072668175,-2.1846113201922774
Hold amplitude,near_occlusion,2592,1.4637584686279297,1.6546942071422988,-11.99325132314712,-7.046268469343396
Hold phase aligned,near_occlusion,2592,1.734778881072998,2.392441264757509,-8.011187014558486,-5.258679488844232
W,los,8656,0.2517819106578827,-5.989754751164325,-8.36455686831432,-0.38048430201128014
W amplitude,los,8656,0.1874956339597702,-7.270088408389627,-9.200070807177624,-0.44272750240475894
W phase aligned,los,8656,0.23604963719844818,-6.269966627304305,-8.446824972837625,-0.39884377056688136
Hold,los,8656,0.2635716359657653,-5.791013277894952,-12.064892999897141,-0.40100287099564674
Hold amplitude,los,8656,0.09294959157705307,-10.317525141892514,-18.82174840274996,-0.7545738680125449
Hold phase aligned,los,8656,0.20572803914546967,-6.867065132820155,-12.295236866742874,-0.5279251424567508
W,nlos,1700,33.202579498291016,15.211718252207936,0.15220164232138464,0.10303213001524966
W amplitude,nlos,1700,30.625255584716797,14.860797218156579,-1.8637772372420414,-0.5878901911165179
W phase aligned,nlos,1700,32.14259338378906,15.070809143324627,-0.8610550200351562,-0.4500952432623996
Hold,nlos,1700,180.2973283122304,22.55989291293381,3.0091844981014364,0.961134141309216
Hold amplitude,nlos,1700,172.7229766845703,22.373501139634115,-6.61169963710683,-1.5738050788176112
Hold phase aligned,nlos,1700,177.3738250732422,22.488895317021896,-4.042603346176403,-0.7543071659594045
W,switch_window,1616,33.79241943359375,15.288192870410423,-0.32897179424627077,-0.04787418712955209
W amplitude,switch_window,1616,31.508878707885742,14.984329484090829,-3.1053376915342246,-0.08973732809837244
