group,model,case,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
near_los,WM,csi_32,2592,0.1375664999723596,-8.614873120922702,-12.64795134408179,-4.096704054630451,-8.513474813125146,0.931680909753278,0.928875496194113,0,-11.926924982986794,-8.786806756162393,0.06926324774547969
near_los,WM,csi_4,2592,0.18537960749828422,-7.319380417021291,-11.922958565158652,-2.2544120248918817,-7.248997622975034,0.9068621449441066,0.9018471306379113,0,-11.327722321990173,-7.540196901732052,0.0572804144843716
near_los,WM,csi_8,2592,0.15659296784500193,-8.052277447984103,-12.43034406265748,-3.3643352121947903,-7.971311895849413,0.9222304400228144,0.918464294614291,0,-11.634139028403025,-8.252542444253937,0.06266392288982267
near_los,WM,default,2592,0.14258731774115543,-8.459191005709059,-12.552605011412151,-3.8521003534672364,-8.362520356089558,0.9291577116504589,0.9260403222860738,0,-11.847761217843953,-8.642222402821979,0.06704814983831614
near_los,WM,mismatched_motion,2592,0.14258623791177946,-8.459223895430428,-12.600840207506355,-3.9002113848734665,-8.36306679527371,0.9292421771632668,0.9260936953633537,0,-11.86173198746534,-8.644601880849896,0.06713499852280082
near_los,WM,mismatched_rgb,2592,0.14258731774115543,-8.459191005709059,-12.552605011412151,-3.8521003534672364,-8.362520356089558,0.9291577116504589,0.9260403222860738,0,-11.847761217843953,-8.642222402821979,0.06704814983831614
near_los,WM,motion_16,2592,0.1425942549489565,-8.45897971638626,-12.55054016702761,-3.850638103305994,-8.362274458693689,0.9291521299872646,0.9260352180847234,0,-11.848127160710371,-8.641962514949235,0.06704238557380184
near_los,WM,motion_2,2592,0.14261054307055526,-8.45848366292659,-12.556080213936117,-3.849447886053655,-8.3617884750088,0.9291493952524437,0.9260309159125761,0,-11.847090320148526,-8.64156016913847,0.06704269353810415
near_los,WM,offgrid_queries,2592,0.1465429127850463,-8.340351803833348,-12.18694927292763,-3.819802332158067,-8.221971124873573,0.9263910197786777,0.9237924885554709,0,-11.80307149974074,-8.486159021446804,0.06284225023835922
near_los,WM,pattern_bursty,2592,0.14734991296402555,-8.316501163410638,-12.281125811813299,-3.7906745117048315,-8.234049730309588,0.9265788849889655,0.9234486905436197,0,-11.796747490577369,-8.493912292925794,0.06494766764703469
