group,model,query_ms,targets,nmse,nmse_db,median_nmse_db,p90_nmse_db,energy_weighted_nmse_db,complex_cosine,real_cosine,zero_prediction_cosines,amplitude_nmse_db,phase_aligned_nmse_db,worst_one_pct_error_share
far_los,WMI,10.0,324,0.05343379994510538,-12.721839398633408,-22.07493324348308,-9.61881373281354,-12.513370558251502,0.974468682509781,0.9733608836531573,0,-15.890411311048656,-12.903385242971599,0.15970522617530247
far_los,WMI,20.0,324,0.046163597619172624,-13.357003531176712,-20.92119040180267,-10.111402041208656,-13.163630061259632,0.9778673099409286,0.977049080031209,0,-16.665983794595782,-13.508748747087655,0.19792225358055696
far_los,WMI,50.0,324,0.03679040868551562,-14.342653877905516,-21.912544596790507,-10.03669322864107,-14.085042482551938,0.9816449249261909,0.9812502292338489,0,-17.623165161878898,-14.43082353104325,0.18542546449560965
far_los,WMI,100.0,324,0.032985448687788625,-14.816776040102262,-19.643616605915252,-10.992268800657158,-14.609452135880193,0.9840373525108133,0.9834992597223915,0,-18.059386802589874,-14.950545078884227,0.15329531617830255
far_los,WMI,200.0,324,0.03872045855150063,-14.120595081506487,-18.44857883324552,-10.572113201712895,-13.94333827650236,0.9807435598006087,0.9803112968530914,0,-17.796481853772733,-14.209083109074745,0.12659185039157345
far_los,WMI,300.0,324,0.03944826622778635,-14.039720795078356,-18.153685657543573,-9.869365687472857,-13.943369564259179,0.9805197974615263,0.9800876690656604,0,-18.039443754626607,-14.128449082693086,0.10064619226979457
far_los,WMI,400.0,324,0.03840581180803753,-14.156030504977174,-18.00990144623254,-9.972214923869386,-14.110398098049037,0.9813719222398072,0.9809670377533731,0,-17.981972995515896,-14.241586625008502,0.08556853774190651
far_los,WMI,500.0,324,0.04541227840429599,-13.42826708326064,-17.13002683860189,-9.227536374144327,-13.463628232025332,0.9781606737127849,0.9777059098450707,0,-17.1386502531045,-13.508525189794936,0.07403401964217154
near_occlusion,W,10.0,324,0.25722375734035746,-5.896889221967516,-13.578698465466324,-1.5473141516433704,-7.300614925037405,0.929650935527584,0.8844947425055151,0,-9.950282328386699,-7.793858876268032,0.18283069124547982
near_occlusion,W,20.0,324,0.5897734978932787,-2.2931474683560222,-8.81588447960145,1.6424784517444748,-3.7341640740360833,0.840431666722558,0.7294108699550448,0,-7.051922727521274,-4.376161782303958,0.1636805498457894
near_occlusion,W,50.0,324,0.49947940183619355,-3.0148241705427985,-7.2558305173871265,1.8970544961786793,-4.43302217797622,0.8951092072951686,0.7243671190349334,0,-7.245889878130151,-5.574629801805867,0.10721476121951216
near_occlusion,W,100.0,324,0.5936510207463017,-2.2646878111787827,-5.317914570468822,1.3752068245814786,-3.8768866511286464,0.8585941644157465,0.6715018541628168,0,-5.67012611867597,-4.359857898680471,0.1520201661886287
near_occlusion,W,200.0,324,0.6768818672878594,-1.694871198845747,-4.437145177415158,0.32807006838199637,-3.1079451833867773,0.8690064811597613,0.7001449143007653,0,-3.9987081873214514,-3.3066005393029125,0.2450332141667893
near_occlusion,W,300.0,324,0.9693612436346376,-0.13514347943244628,-4.012925869350761,0.8155996833187008,-2.5693644432798486,0.8561409215158494,0.6291883452151752,0,-2.295025707671527,-1.7035078882682235,0.29654202506141675
near_occlusion,W,400.0,324,1.2683775267604616,1.0324853855026879,-3.1452231369543924,0.9595211187481291,-1.9646065029980244,0.8279499366225639,0.5846482249358258,0,-1.007231334303122,-0.3928696585399226,0.33888601286575654
near_occlusion,W,500.0,324,1.3425219471432426,1.2792139414462422,-2.320073280947758,1.640266335677214,-1.3859304485555326,0.7989215700630775,0.5528723743724874,0,-0.9706479985017081,-0.11391516679814215,0.2327004159867124
near_occlusion,WM,10.0,324,0.25623708282399693,-5.913580186177772,-13.529723870084705,-1.5727239827902697,-7.319369549029978,0.9297671216101099,0.8847524919010644,0,-9.96710533302502,-7.808031810970958,0.18319646609789988
near_occlusion,WM,20.0,324,0.584490028716572,-2.332228934162704,-8.807303057727903,1.6274420134783418,-3.774281384813321,0.8415178329600632,0.7306894042659127,0,-7.096095851047647,-4.4241614912071086,0.16464184945976365
near_occlusion,WM,50.0,324,0.49246254485488383,-3.0762679497635697,-7.264491273492065,1.8770739522394388,-4.451463464207498,0.8950433458546144,0.7270726875054856,0,-7.240988482485143,-5.585513634763695,0.10641399749720248
near_occlusion,WM,100.0,324,0.5786272707995731,-2.3760110183447063,-5.628593013675988,1.2252968913553262,-3.846800176071584,0.8604099510742739,0.6764318021191872,0,-5.766801121766005,-4.455366137985827,0.1392734608862918
near_occlusion,WM,200.0,324,0.6251804386401452,-2.039946191422122,-4.432572321771805,0.38622328290534413,-3.159227529585185,0.8720517248460172,0.7004445482186691,0,-4.3922933051712585,-3.668974058113641,0.2026981244978727
near_occlusion,WM,300.0,324,0.8176266117522577,-0.874449817530566,-4.036543138112928,0.8352927190882331,-2.6606777724324266,0.8667414736266569,0.635588290669688,0,-3.21051840727079,-2.546174372396856,0.23184877829883863
near_occlusion,WM,400.0,324,0.9694210915077704,-0.13487535649164603,-3.061365350102462,1.0063410454502977,-2.0839172986725725,0.8381484729004793,0.5959266765006267,0,-2.3457549584476407,-1.6515931780696056,0.25311249184886064
near_occlusion,WM,500.0,324,0.9775130509428592,-0.09877435553957135,-2.2300132662178145,1.011261491787431,-1.5060942830348691,0.7891245706414034,0.5616568097971508,0,-2.4438149650753505,-1.526129970477255,0.20898137749740098
near_occlusion,WI,10.0,324,0.25691952583210037,-5.902028881863983,-13.584062056925493,-1.560609417939801,-7.30895010616722,0.9297276053633668,0.8846753907918409,0,-9.954661610606333,-7.796555494504532,0.18348968445629615
near_occlusion,WI,20.0,324,0.5877786195882537,-2.3078621541161652,-8.797095383577345,1.6359276434668262,-3.7524950006469835,0.8411540013337091,0.7303167202034155,0,-7.069252758983424,-4.394166533764508,0.16426328315536512
near_occlusion,WI,50.0,324,0.49778003012021527,-3.0296253035209375,-7.3304312540525824,1.876034673128356,-4.454569727956574,0.8954778994306897,0.7257610484684107,0,-7.273999731705531,-5.586160965446101,0.10792193004507963
near_occlusion,WI,100.0,324,0.5871712940867388,-2.312351845709782,-5.5429110393225836,1.3273968495372803,-3.8895657828530688,0.8601224554778513,0.6752560476270737,0,-5.758462086585535,-4.419897455775141,0.1489811661050542
near_occlusion,WI,200.0,324,0.663164952093453,-1.7837843407814213,-4.456944158317138,0.33532533277492843,-3.1224172371874848,0.868992807280753,0.6983391801062251,0,-4.137434625949691,-3.410110032198433,0.2380490728527354
near_occlusion,WI,300.0,324,0.9254732396198095,-0.3363613450532252,-4.141945078410299,0.7927529872677153,-2.6052411785134217,0.8532728134727326,0.6332176488021246,0,-2.52177810714848,-1.9048039321027612,0.2842078149112818
