condition,model,seeds,targets_per_seed,nmse_linear,nmse_db,seed_nmse_db_std,amplitude_nmse,shape_correlation,gain_abs_error_db
dropout_n16,neural_flow,1,2400,17.12610630347083,12.336586354038241,0.0,16.460374986746658,0.13137930583690605,15.963527571049829
dropout_n16,tpatchgnn,1,2400,90.15174685612321,19.549741463953573,0.0,89.2289852852871,0.036411330719535756,19.877184411684674
dropout_n16,harmonic,1,2400,11026.397257767192,40.42433635136562,0.0,11014.804924862709,0.8943600131051668,1.474280539659879
dropout_n32,hold,1,2400,1.409610791497192,1.4909921589043447,0.0,1.1144856864067458,0.8879434030816696,0.5625469240006532
dropout_n32,linear,1,2400,13310.374542650168,41.241902763249826,0.0,13298.221503147726,0.9051582583502955,1.6259230592726892
dropout_n32,kalman,1,2400,7322.882664870783,38.64682075457703,0.0,7313.88522996258,0.9109220304852753,1.440158094819714
dropout_n32,cru,1,2400,120.61694716629184,20.814083322130973,0.0,119.15362363024305,0.5468083642707264,6.02093373496762
dropout_n32,latent_ode,1,2400,70.13042286598123,18.45906457575648,0.0,68.97191185003922,0.402590838629132,7.354789552378158
dropout_n32,neural_flow,1,2400,13.481567661737403,11.297403957049838,0.0,12.856702677570283,0.1280369038313908,15.634519278208415
dropout_n32,tpatchgnn,1,2400,76.15342877686024,18.81689462042994,0.0,75.29325693229835,0.03648877319115722,19.891893586913746
dropout_n32,harmonic,1,2400,12740.400880689762,41.05183093425735,0.0,12728.329975832927,0.895603441800948,1.4551727193846697
dropout_n4,hold,1,2400,1.4096108043849245,1.4909921986108443,0.0,1.1144856855319536,0.8879433996407723,0.5625468919743677
dropout_n4,linear,1,2400,8945.222741981263,39.515911592587806,0.0,8935.953687927435,0.8973170640011805,1.1922985842593092
dropout_n4,kalman,1,2400,7354.964052647093,38.66580554456458,0.0,7346.806735311565,0.8999933791076683,1.11610668289845
dropout_n4,cru,1,2400,108.812445525319,20.36678571040988,0.0,107.38880145807906,0.54616715352822,6.0804608321275255
dropout_n4,latent_ode,1,2400,49.22450390576695,16.92181347926995,0.0,48.29631664730298,0.4089884337698832,7.8809382356338515
dropout_n4,neural_flow,1,2400,40.48335213129719,16.072764660810194,0.0,39.62110121251394,0.1209331042634768,16.771713468929132
dropout_n4,tpatchgnn,1,2400,88.47119757105907,19.468019060437282,0.0,87.56942643381655,0.03642520726457815,19.799551282723744
dropout_n4,harmonic,1,2400,427949.3151121838,56.31392335670726,0.0,427887.6165558909,0.7740491891070644,1.802792001222818
dropout_n8,hold,1,2400,1.4096107041334789,1.4909918897408283,0.0,1.1144856990420813,0.8879434015764878,0.5625469212201339
dropout_n8,linear,1,2400,11680.761078933027,40.674711408596416,0.0,11669.60418299574,0.8995962092042226,1.2867816219806658
dropout_n8,kalman,1,2400,9037.174631875156,39.560326745487934,0.0,9027.589300751517,0.9015956960332763,1.227804620267388
dropout_n8,cru,1,2400,113.68669458437556,20.557096396506562,0.0,112.24254031229609,0.5440257634821564,6.07602924069089
dropout_n8,latent_ode,1,2400,49.96893158402294,16.987000636286226,0.0,49.02570587780327,0.40874990058654515,7.737175723008113
dropout_n8,neural_flow,1,2400,21.22606192679455,13.268694269447472,0.0,20.531828378507246,0.13338454309770814,16.22801256990681
dropout_n8,tpatchgnn,1,2400,87.86170168017348,19.437996103014004,0.0,86.95163496978581,0.03637889147543194,19.826206146478654
dropout_n8,harmonic,1,2400,11375.256020961346,40.55961180031524,0.0,11364.223245476482,0.8877053257243536,1.396168135418605
main,hold,1,7200,1288.8500021629043,31.102023766059066,0.0,1287.0323921235463,0.8865495044488034,0.5818744998495954
main,linear,1,7200,7070.3859808519765,38.4944312310079,0.0,7064.120179417508,0.8977094786780789,1.3516254562852252
main,kalman,1,7200,4478.014822607766,36.51085526796854,0.0,4473.072019836607,0.9026282024559817,1.2466807838823868
main,cru,3,7200,116.10312405252716,20.64843905703432,1.734787027164464,115.16139406904455,0.5387778869404932,6.013593028408351
main,latent_ode,3,7200,55.64893848793443,17.45456884515661,0.27245774787073984,54.98988197264503,0.4116940145793109,7.534836498076264
main,neural_flow,3,7200,11.824474655603645,10.72781854759478,4.228063513022555,11.443996068392364,0.12069666127991134,16.73680156886198
main,tpatchgnn,3,7200,256.83501995296166,24.09654240329036,5.976399972519472,255.9383751576968,0.5805639584673123,8.065920889857036
main,harmonic,1,7200,6620.656779563797,38.20901074272328,0.0,6614.282360958834,0.8559903475458734,1.494234066668988
offgrid,hold,1,1728,2236.9610761492695,33.496584272970516,0.0,2233.8675431136962,0.8431121666646381,0.9480868649937259
offgrid,linear,1,1728,25094.291654788856,43.995749412112126,0.0,25076.43459266461,0.8649791481591028,1.8727860881851686
offgrid,kalman,1,1728,18615.69892609146,42.69879346439262,0.0,18600.34842175579,0.8710022413824634,1.7164152929466143
offgrid,cru,3,1728,280.1967936794045,24.47463161301972,1.675072571420141,278.3883551629981,0.5322819157760348,6.264749748860562
offgrid,latent_ode,3,1728,108.58327150062864,20.357629223561947,0.38452354605972,107.53521457553428,0.3965560760629822,7.632063487820244
offgrid,neural_flow,3,1728,17.214209127182396,12.358870746973572,2.0471586537340687,16.658210950705257,0.11433732528035524,17.169964026567744
offgrid,tpatchgnn,3,1728,510.73314186883175,27.08194040474977,5.8607469421661404,509.0739606625798,0.5591926227226112,8.686592229340606
offgrid,harmonic,1,1728,23217.973218762952,43.65824305913969,0.0,23200.185073951652,0.8233025316793643,2.0823228312882645
random_n16,hold,1,2400,1.4096106662495307,1.4909917730221498,0.0,1.1144856220862747,0.8879433975273787,0.562546888378923
random_n16,linear,1,2400,20318.46894643621,43.07890979538765,0.0,20302.87461543698,0.9004334713590703,1.5080439784023716
random_n16,kalman,1,2400,11614.952511154821,40.650174384853216,0.0,11603.14723549234,0.9039831389293196,1.3994244331017134
random_n16,cru,1,2400,120.67412601722792,20.816141621228432,0.0,119.21525972743596,0.5450831508880137,6.013427391032504
random_n16,latent_ode,1,2400,45.44609312995337,16.57496554113932,0.0,44.51155516529611,0.4068460166406272,7.544171389379383
random_n16,neural_flow,1,2400,13.529556466788053,11.312835595552128,0.0,12.914683056206753,0.13103966864836897,15.96109245767196
random_n16,tpatchgnn,1,2400,69.04882953725755,18.391563211504405,0.0,68.22550502041976,0.03644550912648412,19.874134152630965
random_n16,harmonic,1,2400,19841.027571197774,42.975641606077055,0.0,19825.50896851366,0.8917903409074358,1.5144866628966762
random_n32,hold,1,2400,1.4096106377551678,1.4909916852323437,0.0,1.1144856345509602,0.8879433994359389,0.562546916595608
random_n32,linear,1,2400,19133.610537061602,42.817969296910704,0.0,19118.42477575363,0.9022638565774285,1.704996954508449
random_n32,kalman,1,2400,7558.189196283454,38.78417758958806,0.0,7548.560049713291,0.9091564037755866,1.4903944999570438
random_n32,cru,1,2400,122.05521945566171,20.86556355914817,0.0,120.60338165315567,0.5457592484793811,6.026174280948665
random_n32,latent_ode,1,2400,50.76772232489039,17.05587679380162,0.0,49.7498815232298,0.4026299924847546,7.336607585142677
random_n32,neural_flow,1,2400,10.481208437507352,10.204113577894454,0.0,9.905119458194822,0.1279781254418729,15.71170064340035
random_n32,tpatchgnn,1,2400,56.50048888449867,17.52052205676456,0.0,55.74393587661286,0.03645953231166897,19.888771449724832
random_n32,harmonic,1,2400,18060.739163775557,42.567355205167914,0.0,18045.74409253321,0.8904064919984264,1.5326989950651841
random_n4,hold,1,2400,1.4096107396519877,1.4909919991716956,0.0,1.1144856351746562,0.8879434011436796,0.5625469075448017
random_n4,linear,1,2400,10104.93586646496,40.04533561500135,0.0,10094.445408565147,0.8972373561772542,1.2447962776541772
random_n4,kalman,1,2400,6908.123433009582,38.39360088854314,0.0,6899.548463969769,0.8991597357922205,1.1631555399631754
random_n4,cru,1,2400,111.76132158364325,20.48291528692114,0.0,110.34346022946876,0.5467824384582461,6.0249586495094505
random_n4,latent_ode,1,2400,29.457303874498855,14.691929948484038,0.0,28.677102946549034,0.40906172949300923,7.867558915351207
random_n4,neural_flow,1,2400,23.67108206431071,13.74218111068842,0.0,22.975070978862544,0.12162343958171647,16.77821451663971
random_n4,tpatchgnn,1,2400,52.11411559728285,17.16955371969497,0.0,51.38140949959556,0.036402046401250346,19.783659113645555
random_n4,harmonic,1,2400,26001.853228684093,44.15004302521149,0.0,25982.423676992563,0.7823968646762409,1.6133484810535872
random_n8,hold,1,2400,1.409610689231093,1.490991843827272,0.0,1.114485634689756,0.8879434038726064,0.5625468931489316
random_n8,linear,1,2400,11574.415952362493,40.63499085645446,0.0,11563.070804152538,0.8992154776980851,1.4022622549589383
random_n8,kalman,1,2400,7846.4666800898485,38.94674134861638,0.0,7837.207987807278,0.9016098766857893,1.3255177468555486
random_n8,cru,1,2400,117.17312446830019,20.6882801071295,0.0,115.73357215955427,0.5459118589962553,6.047988481336045
random_n8,latent_ode,1,2400,31.455439373282715,14.976957558398771,0.0,30.681434233502173,0.4087356197768817,7.718650988436615
random_n8,neural_flow,1,2400,13.36837297094365,11.260785536539723,0.0,12.803345474340022,0.13301523916189942,16.271759075211982
random_n8,tpatchgnn,1,2400,55.128203543896475,17.41373840408081,0.0,54.40387295390169,0.03637969159302609,19.843372870484988
random_n8,harmonic,1,2400,11451.87625988629,40.58876646724787,0.0,11440.569978090754,0.8847598357631561,1.4360796358856411
timestamps_jitter_20,cru,1,7200,74.31017313157234,18.710482731477672,0.0,73.46803536660309,0.5299254760220672,6.213557536451748
timestamps_jitter_5,cru,1,7200,72.33055354852773,18.593217887823247,0.0,71.49214950007594,0.5302193410638367,6.1893442242252865
timestamps_none,cru,1,7200,72.20214246535596,18.58550084648265,0.0,71.36351881256327,0.5303066994985541,6.183434848445783
timestamps_permuted_association,cru,1,7200,578.6311820368787,27.624018337738633,0.0,576.8707853437554,0.47642173409092353,6.660829215834432
timestamps_uniform_times,cru,1,7200,74.61505377622528,18.728264563251628,0.0,73.79275196158947,0.5299563057959243,6.2060398726733785
uniform_n16,hold,1,2400,1.4096106774188744,1.4909918074343773,0.0,1.1144856351399555,0.887943401144211,0.5625469083948216
uniform_n16,linear,1,2400,14926.080705729331,41.73945785532946,0.0,14912.724096592332,0.8975349533825215,1.6784461010680025
uniform_n16,kalman,1,2400,8029.976517515654,39.04714275250252,0.0,8020.16110521683,0.904716392026143,1.5218335990823273
uniform_n16,cru,1,2400,122.35768238082062,20.876312422685643,0.0,120.91036639251513,0.5455355980671202,6.003172932431177
uniform_n16,latent_ode,1,2400,29.787414227863774,14.740328048158942,0.0,28.978470758371987,0.4069774579318963,7.543818289094294
uniform_n16,neural_flow,1,2400,9.330756124394636,9.699168385317716,0.0,8.788016847011944,0.13141171665456597,15.995190078707722
uniform_n16,tpatchgnn,1,2400,45.93659089910487,16.621587616765094,0.0,45.241749454389016,0.03645953240290534,19.88910957336426
uniform_n16,harmonic,1,2400,14587.497857979635,41.63980805281862,0.0,14574.10159136249,0.846663691204309,1.5627121054019941
uniform_n32,hold,1,2400,1.409610743468326,1.4909920109296557,0.0,1.114485736703961,0.8879434076112814,0.5625469045653881
uniform_n32,linear,1,2400,15361.647938208152,41.8643780762783,0.0,15348.059838051775,0.8977561231723388,1.8816412588359284
uniform_n32,kalman,1,2400,5558.32635012827,37.44944042243257,0.0,5550.056219888102,0.9044246491105987,1.6490349302928817
uniform_n32,cru,1,2400,122.89752780204871,20.89543146737331,0.0,121.45130397662598,0.5466316834570373,5.995559640116237
uniform_n32,latent_ode,1,2400,39.155831423029305,15.92796450078483,0.0,38.22482948086535,0.4029432502740274,7.333411000175402
uniform_n32,neural_flow,1,2400,8.44634969453017,9.266690580575016,0.0,7.907299388839553,0.12786926755751513,15.717147300050904
uniform_n32,tpatchgnn,1,2400,43.62783404149115,16.397636524280703,0.0,42.94826169165472,0.036459532419510554,19.893748646179834
uniform_n32,harmonic,1,2400,14753.42487465901,41.68892849568997,0.0,14739.915386047935,0.891222064634863,1.5383869809596338
uniform_n4,hold,1,2400,1.409610726755133,1.4909919594370888,0.0,1.1144856853410972,0.887943406007702,0.5625469050019941
uniform_n4,linear,1,2400,11229.527333944947,40.503614766016526,0.0,11218.145886527082,0.8944379272833197,1.2641935770559576
uniform_n4,kalman,1,2400,7184.481708163547,38.563954433952986,0.0,7175.517816025103,0.8969834151156074,1.1621981616126988
uniform_n4,cru,1,2400,106.37384031170669,20.268348384372096,0.0,104.99020563259022,0.5467752523089557,6.107128458478498
uniform_n4,latent_ode,1,2400,31.925218135885274,15.041338733555822,0.0,31.117121993449206,0.40904100890917616,7.874441433945515
uniform_n4,neural_flow,1,2400,23.149404823482037,13.645398296865725,0.0,22.450528568501273,0.121180101245854,16.78389045000076
uniform_n4,tpatchgnn,1,2400,56.82994382736584,17.54577226773622,0.0,56.06731103425225,0.036459532401352086,19.851005500157672
uniform_n4,harmonic,1,2400,76085.81366027183,48.81303689314645,0.0,76053.5832656185,0.648991867944745,2.7609658103418284
uniform_n8,hold,1,2400,1.4096106865802842,1.4909918356602538,0.0,1.1144856475759952,0.8879433953214569,0.5625468979547744
uniform_n8,linear,1,2400,14321.064563725991,41.55975302676269,0.0,14308.076186309827,0.8963873429021506,1.450547373595216
uniform_n8,kalman,1,2400,9127.235896222273,39.60339275149812,0.0,9116.90790551907,0.9002607862603528,1.3359806826707306
uniform_n8,cru,1,2400,121.9652560818568,20.862361319786828,0.0,120.5122979919496,0.5453215654041834,6.072524722373928
uniform_n8,latent_ode,1,2400,29.542014453026155,14.704401062773638,0.0,28.75596844352161,0.4088143967846095,7.73120082633143
uniform_n8,neural_flow,1,2400,11.996769476905465,10.790643137777671,0.0,11.428161945988734,0.1331213920192062,16.260740753064553
uniform_n8,tpatchgnn,1,2400,51.71099164014061,17.1358286613625,0.0,50.979918388798836,0.036459532395840856,19.88033503929774
uniform_n8,harmonic,1,2400,17923.2452208527,42.53416646727244,0.0,17907.306822695653,0.7196249809664772,1.9993454790981438
uniform_trained_bursty,cru,1,2400,124.79027134469244,20.961807290482746,0.0,123.3176216752051,0.5447245261425572,6.091906388142258
uniform_trained_dropout,cru,1,2400,128.02925160456604,21.073092068281944,0.0,126.51630930950982,0.5460225610949366,5.992632557255493
uniform_trained_random,cru,1,2400,132.45267862382966,21.220607455685858,0.0,130.93907277269676,0.544848368518783,5.989230991051871
uniform_trained_uniform,cru,1,2400,136.54811118679586,21.352856971024433,0.0,135.027981578497,0.5453290008774697,5.978869723033652
