time_s,mean_abs_H_squared_db,los,path_count
0.706,-87.47578899539242,0,99
0.708,-87.43216490890768,0,100
0.71,-87.38623058803795,0,100
0.712,-87.36650688358885,0,99
0.714,-87.37466413504698,0,97
0.716,-87.4639490886298,0,94
0.718,-87.60730488848218,0,94
0.72,-87.79349621806526,0,94
0.722,-88.03195995052812,0,96
0.724,-88.2039578869514,0,96
0.726,-88.36782899221944,0,95
0.728,-88.46481201757099,0,95
0.73,-88.53055725884289,0,100
0.732,-88.52471166128716,0,100
0.734,-88.46430474164052,0,100
0.736,-88.21902523347235,0,100
0.738,-88.24183390131222,0,100
0.74,-88.25491762214041,0,100
0.742,-88.23415402591968,0,100
0.744,-88.19234925824492,0,100
0.746,-88.16390707161287,0,100
0.748,-88.18333966332477,0,100
0.75,-88.24510703115975,0,100
0.752,-88.30713041406845,0,100
0.754,-88.31784236487684,0,100
0.756,-88.26026362177024,0,99
0.758,-88.23713931729769,0,98
0.76,-88.24771130034915,0,98
0.762,-88.31051405635816,0,98
0.764,-88.37702501637403,0,98
0.766,-88.39144684830494,0,98
0.768,-88.54935003303054,0,98
0.77,-88.49961375210182,0,100
0.772,-88.4580809551055,0,100
0.774,-88.38757490573549,0,100
0.776,-88.28813809715837,0,100
0.778,-88.14957745746935,0,99
0.78,-87.95503523395071,0,100
0.782,-87.75705806208443,0,101
0.784,-87.6416507775389,0,100
0.786,-87.54452186644372,0,100
0.788,-87.48886956715583,0,100
0.79,-87.47763153573786,0,100
0.792,-87.50847056771735,0,101
0.794,-87.58735269692164,0,101
0.796,-87.68829841252264,0,100
0.798,-88.1047412126172,0,99
0.8,-88.07741051629412,0,102
0.802,-88.03858799220635,0,102
0.804,-88.03360927801992,0,102
0.806,-88.06160133171032,0,102
0.808,-88.0889523582766,0,102
0.81,-88.0619876836218,0,103
0.812,-87.98785938649216,0,103
0.814,-87.90718114407014,0,102
0.816,-87.88791515510412,0,101
0.818,-87.8849639378762,0,101
0.82,-87.88661101242916,0,101
0.822,-87.8404215378076,0,101
0.824,-87.7128175898651,0,100
0.826,-87.6288452008765,0,101
0.828,-87.56945153341525,0,101
0.83,-87.56352043084195,0,101
0.832,-87.57428485222691,0,99
0.834,-87.59686407695911,0,99
0.836,-87.61428735515226,0,98
0.838,-87.61637060565664,0,98
0.84,-87.62872424302407,0,100
0.842,-87.63888318128411,0,101
0.844,-87.68485220236443,0,100
0.846,-87.72050878141766,0,98
0.848,-87.74837614208978,0,98
0.85,-87.76200527852616,0,98
0.852,-87.7510684419372,0,99
0.854,-87.69465037229102,0,97
0.856,-87.59123451108877,0,97
0.858,-87.50996939463991,0,97
0.86,-87.46117765846256,0,97
0.862,-87.44448991871869,0,96
0.864,-87.41460095034681,0,98
0.866,-87.3519354116813,0,100
0.868,-87.28644764091725,0,100
0.87,-87.242094280847,0,101
0.872,-87.25130171564442,0,101
0.874,-87.321909705175,0,101
0.876,-87.41138609057812,0,98
0.878,-87.47392245456376,0,99
0.88,-87.47620828725951,0,100
0.882,-87.49104496161131,0,100
0.884,-87.53306886058402,0,100
0.886,-87.6151320162457,0,99
0.888,-87.67685263212738,0,102
0.89,-87.68933527835503,0,100
0.892,-87.65094589419093,0,100
0.894,-87.57570813445389,0,100
0.896,-87.29070864486346,0,92
0.898,-86.98872312830119,0,92
0.9,-86.69794133011605,0,88
0.902,-86.45025316021619,0,88
0.904,-86.27304659510904,0,90
0.906,-86.17641074787022,0,90
0.908,-86.15719172572395,0,90
0.91,-87.16349002762185,0,90
0.912,-87.16657120460381,0,90
0.914,-87.20041267919781,0,92
0.916,-87.29882369496212,0,94
0.918,-87.41018922903456,0,93
0.92,-88.83012390212647,0,93
0.922,-88.9031760077937,0,93
0.924,-88.91223961109603,0,93
0.926,-88.88453979517169,0,93
0.928,-88.84579389119607,0,95
0.93,-88.8145334973022,0,95
0.932,-88.757114586921,0,94
0.934,-88.6611181085049,0,94
0.936,-88.54866340921811,0,94
0.938,-88.47118646626,0,94
0.94,-88.4431067017932,0,94
0.942,-88.45730918190847,0,94
0.944,-88.46565625124919,0,94
0.946,-88.46883132032215,0,94
0.948,-88.49056418622895,0,95
0.95,-88.55831514852039,0,95
0.952,-88.65339113556885,0,95
0.954,-88.72355244165256,0,94
0.956,-88.7596115516564,0,95
0.958,-88.76801437656384,0,95
0.96,-89.22392196583267,0,95
0.962,-89.41613564592117,0,95
0.964,-89.44452735306088,0,96
0.966,-89.29388911606966,0,96
0.968,-88.97826225974649,0,96
0.97,-88.588948904001,0,96
0.972,-88.19819230087307,0,95
0.974,-87.84994804413674,0,94
0.976,-88.5618206594418,0,92
0.978,-88.50015466659501,0,92
0.98,-88.43908583645654,0,92
0.982,-88.41981924773577,0,92
0.984,-88.4529080516019,0,93
0.986,-88.51902454552773,0,94
0.988,-88.5703173267973,0,94
0.99,-88.601579755378,0,94
0.992,-88.64572812053561,0,93
0.994,-88.69922534282827,0,93
0.996,-88.7594287597388,0,94
0.998,-88.7168324533375,0,95
1.0,-88.69140885330759,0,95
1.002,-88.66248426670526,0,95
1.004,-88.61631190712498,0,95
1.006,-88.58563288385622,0,94
1.008,-88.52377614560689,0,95
1.01,-88.40822527263563,0,95
1.012,-88.26168276568119,0,96
1.014,-88.1324678021762,0,95
1.016,-88.05553844584368,0,95
1.018,-88.01500516248538,0,94
1.02,-88.01354061943842,0,94
1.022,-88.27691691923611,0,93
1.024,-88.152055234269,0,94
1.026,-88.1952434503535,0,94
1.028,-88.26304187099683,0,95
1.03,-88.33553800376457,0,95
1.032,-88.37046967743504,0,94
1.034,-88.36839673303018,0,92
1.036,-88.35553894283956,0,92
1.038,-88.35465406189427,0,92
1.04,-88.3517330765523,0,92
1.042,-88.31270907827546,0,93
1.044,-88.246388964555,0,95
1.046,-87.74108143065854,0,96
1.048,-87.73311453653945,0,96
1.05,-87.76040985209366,0,96
1.052,-87.77988579338333,0,96
1.054,-87.75377031583218,0,94
1.056,-87.68799863335116,0,94
1.058,-87.6239882329015,0,94
1.06,-88.02182261076794,0,93
1.062,-88.05965499073093,0,90
1.064,-88.08443499788854,0,92
1.066,-88.09009344726343,0,90
1.068,-88.10077021811396,0,90
1.07,-88.14572889196316,0,90
1.072,-88.21287116684701,0,93
1.074,-87.79926478348939,0,96
1.076,-87.82892736711695,0,95
1.078,-87.79830766322485,0,93
1.08,-87.73614851877963,0,93
1.082,-87.66175673299847,0,93
1.084,-87.56363891010267,0,93
1.086,-87.44174634582035,0,94
1.088,-87.32392492121029,0,92
1.09,-87.25218837624274,0,92
1.092,-87.25441104646114,0,92
1.094,-87.31199896694648,0,93
1.096,-87.38403215299081,0,93
1.098,-87.437879111522,0,95
1.1,-87.94977765146368,0,94
