route,time_s,mean_abs_H_squared_db,los
site_00_route_00,0.418,-69.5562902053818,0
site_00_route_00,0.42,-69.55289250719859,0
site_00_route_00,0.422,-69.54954349504229,0
site_00_route_00,0.424,-69.54687539562681,0
site_00_route_00,0.426,-69.54338921525219,0
site_00_route_00,0.428,-69.54099831311078,0
site_00_route_00,0.43,-69.53810482237154,0
site_00_route_00,0.432,-69.53565798694012,0
site_00_route_00,0.434,-69.5338562556055,0
site_00_route_00,0.436,-69.53271756648408,0
site_00_route_00,0.438,-69.53178587885701,0
site_00_route_00,0.44,-69.53153803775723,0
site_00_route_00,0.442,-69.53272260528736,0
site_00_route_00,0.444,-71.44648557874416,0
site_00_route_00,0.446,-69.53687428479908,0
site_00_route_00,0.448,-69.54017710894477,0
site_00_route_00,0.45,-69.54295755721404,0
site_00_route_00,0.452,-69.54567312322342,0
site_00_route_00,0.454,-69.5474100938653,0
site_00_route_00,0.456,-69.54852585643914,0
site_00_route_00,0.458,-69.5493860645634,0
site_00_route_00,0.46,-69.55005451713231,0
site_00_route_00,0.462,-69.549747869837,0
site_00_route_00,0.464,-69.54879506105036,0
site_00_route_00,0.466,-69.54838596562413,0
site_00_route_00,0.468,-69.54635278169276,0
site_00_route_00,0.47,-69.54268097936098,0
site_00_route_00,0.472,-69.53993382159497,0
site_00_route_00,0.474,-69.5371104318011,0
site_00_route_00,0.476,-69.53439865491919,0
site_00_route_00,0.478,-69.53190312192467,0
site_00_route_00,0.48,-69.52981995356217,0
site_00_route_00,0.482,-69.52765918938991,0
site_00_route_00,0.484,-69.52615630572117,0
site_00_route_00,0.486,-69.52553194179342,0
site_00_route_00,0.488,-69.52550019095541,0
site_00_route_00,0.49,-69.5268380397176,0
site_00_route_00,0.492,-69.52828627842311,0
site_00_route_00,0.494,-69.53028399013067,0
site_00_route_00,0.496,-69.53226896295936,0
site_00_route_00,0.498,-69.53368906732413,0
site_00_route_00,0.5,-69.53473139629023,0
site_00_route_00,0.502,-69.53524927083372,0
site_00_route_00,0.504,-69.53426524339265,0
site_00_route_00,0.506,-69.53388547600115,0
site_00_route_00,0.508,-71.45379340264293,0
site_00_route_00,0.51,-69.52923702996802,0
site_00_route_00,0.512,-69.52466516965119,0
site_00_route_00,0.514,-69.51968521059389,0
site_00_route_00,0.516,-69.51419719493512,0
site_00_route_00,0.518,-71.42609246374431,0
site_00_route_00,0.52,-69.50370839363015,0
site_00_route_00,0.522,-69.4996841281443,0
site_00_route_00,0.524,-69.52471720679507,0
site_00_route_00,0.526,-69.5234621140294,0
site_00_route_00,0.528,-69.52305717395048,0
site_00_route_00,0.53,-69.52236184363909,0
site_00_route_00,0.532,-69.52165926808,0
site_00_route_00,0.534,-71.44872615044923,0
site_00_route_00,0.536,-69.52091826807947,0
site_00_route_00,0.538,-69.51764540437124,0
site_00_route_00,0.54,-71.44529332779213,0
site_00_route_00,0.542,-69.51676580761713,0
site_00_route_00,0.544,-69.51336391731343,0
site_00_route_00,0.546,-69.5133886998319,0
site_00_route_00,0.548,-69.50992925853605,0
site_00_route_00,0.55,-69.50838995421607,0
site_00_route_00,0.552,-69.5070703675129,0
site_00_route_00,0.554,-69.5062100982957,0
site_00_route_00,0.556,-69.50572089572157,0
site_00_route_00,0.558,-69.50558016218716,0
site_00_route_00,0.56,-69.50541442873204,0
site_00_route_00,0.562,-69.50727647093254,0
site_00_route_00,0.564,-69.50751045325582,0
site_00_route_00,0.566,-69.50576775126132,0
site_00_route_00,0.568,-69.50737927900163,0
site_00_route_00,0.57,-69.5057986820952,0
site_00_route_00,0.572,-71.43666755136016,0
site_00_route_00,0.574,-69.50548968937755,0
site_00_route_00,0.576,-69.50190742991167,0
site_00_route_00,0.578,-69.50055752931704,0
site_00_route_00,0.58,-69.49906353738092,0
site_00_route_00,0.582,-69.49743693032393,0
site_00_route_00,0.584,-69.49570105501408,0
site_00_route_00,0.586,-69.4938146714387,0
site_00_route_00,0.588,-69.49176550751562,0
site_00_route_00,0.59,-69.48966890870233,0
site_00_route_00,0.592,-69.48725150278374,0
site_00_route_00,0.594,-69.48482487370156,0
site_00_route_00,0.596,-69.48280161744931,0
site_00_route_00,0.598,-69.48260323118626,0
site_00_route_00,0.6,-69.48038411383402,0
site_00_route_00,0.602,-69.47816569709627,0
site_00_route_00,0.604,-69.47600903776434,0
site_00_route_00,0.606,-69.47395361035312,0
site_00_route_00,0.608,-69.47206072261787,0
site_00_route_00,0.61,-69.47055913064554,0
site_00_route_00,0.612,-69.4691958279011,0
site_00_route_00,0.614,-69.46766279788052,0
site_00_route_00,0.616,-69.46638536315753,0
site_00_route_00,0.618,-69.46522485748561,0
site_00_route_00,0.62,-69.46422818375882,0
site_00_route_00,0.622,-69.46337439882141,0
site_00_route_00,0.624,-69.46292890033284,0
site_00_route_00,0.626,-69.46213779900349,0
site_00_route_00,0.628,-69.46133057969023,0
site_00_route_00,0.63,-69.4605340516161,0
site_00_route_00,0.632,-69.4599669355903,0
site_00_route_00,0.634,-69.45932492961195,0
site_00_route_00,0.636,-69.4586466183131,0
site_00_route_00,0.638,-69.45793790011271,0
site_00_route_00,0.64,-69.45927913404218,0
site_00_route_00,0.642,-69.4579840219207,0
site_00_route_00,0.644,-69.45629210940832,0
site_00_route_00,0.646,-69.45438035528875,0
site_00_route_00,0.648,-69.45236164105279,0
site_00_route_00,0.65,-69.45037083432189,0
site_00_route_00,0.652,-69.44846607803402,0
site_00_route_00,0.654,-69.44674474218964,0
site_00_route_00,0.656,-69.44527742875053,0
site_00_route_00,0.658,-69.44451591089658,0
site_00_route_00,0.66,-69.44346031456836,0
site_00_route_00,0.662,-69.44279261398057,0
site_00_route_00,0.664,-69.4419407572949,0
site_00_route_00,0.666,-69.44118803650977,0
site_00_route_00,0.668,-69.4404632416878,0
site_00_route_00,0.67,-69.43937190515854,0
site_00_route_00,0.672,-69.43800839450275,0
site_00_route_00,0.674,-69.43581223525334,0
site_00_route_00,0.676,-69.43401817709508,0
site_00_route_00,0.678,-69.4319411601194,0
site_00_route_00,0.68,-69.42995744621756,0
site_00_route_00,0.682,-69.42777545556804,0
site_00_route_00,0.684,-69.4255032561454,0
site_00_route_00,0.686,-69.42364991030487,0
site_00_route_00,0.688,-69.42194719956649,0
site_00_route_00,0.69,-69.41799659706588,0
site_00_route_00,0.692,-69.41679927401677,0
site_00_route_00,0.694,-69.41562687704013,0
site_00_route_00,0.696,-71.34295468299331,0
site_00_route_00,0.698,-71.34149824090075,0
site_00_route_00,0.7,-71.33970624843369,0
site_00_route_00,0.702,-71.33524605545183,0
site_00_route_00,0.704,-69.39838993508641,0
site_00_route_00,0.706,-69.38526891140714,0
site_00_route_00,0.708,-69.3759019416466,0
site_00_route_00,0.71,-69.37096948462306,0
site_00_route_00,0.712,-69.37103755937869,0
site_00_route_00,0.714,-69.37539650521452,0
site_00_route_00,0.716,-69.38256976568196,0
site_00_route_00,0.718,-69.39037169286264,0
site_00_route_00,0.72,-69.39664316628031,0
site_00_route_00,0.722,-69.39945566233132,0
site_00_route_00,0.724,-69.39780191683751,0
site_00_route_00,0.726,-69.39136896983202,0
site_00_route_00,0.728,-69.38050943605744,0
site_00_route_00,0.73,-69.36790277701752,0
site_00_route_00,0.732,-69.35507809237937,0
site_00_route_00,0.734,-69.34439064462012,0
site_00_route_00,0.736,-69.33766894476881,0
site_00_route_00,0.738,-69.33604189716542,0
site_00_route_00,0.74,-69.33942419002284,0
site_00_route_00,0.742,-71.2657428818657,0
