sample_id,traj_id,query_s,difference_over_target_energy,difference_over_refined_prediction_energy,coarse_full_csi_nmse,refined_full_csi_nmse
sweep_turn_012:1:539,sweep_turn_012,0.019999999552965164,1.678950542429707e-13,2.603891300748453e-13,0.23462806642055511,0.23462805151939392
sweep_turn_012:1:539,sweep_turn_012,0.05000000074505806,1.284188111234688e-13,1.911367446743146e-13,0.22931018471717834,0.22931022942066193
sweep_turn_012:1:539,sweep_turn_012,0.10000000149011612,1.8984466780122502e-13,2.846727036830234e-13,0.25951695442199707,0.2595169246196747
sweep_turn_012:1:539,sweep_turn_012,0.20000000298023224,1.4771770385781385e-13,2.0769019406091576e-13,0.3014467656612396,0.30144673585891724
sweep_turn_012:1:539,sweep_turn_012,0.5,2.1987460663553085e-13,2.3113940647140407e-13,0.5327702760696411,0.5327701568603516
sweep_turn_018:1:621,sweep_turn_018,0.009999999776482582,1.1766867403966803e-13,3.421374767502771e-13,0.5283597707748413,0.5283597707748413
sweep_turn_018:1:621,sweep_turn_018,0.019999999552965164,1.1124789017054289e-13,3.162189497273071e-13,0.516343891620636,0.5163439512252808
sweep_turn_018:1:621,sweep_turn_018,0.05000000074505806,1.0191826181993051e-13,2.8258354799757605e-13,0.5067093968391418,0.5067094564437866
sweep_turn_018:1:621,sweep_turn_018,0.10000000149011612,9.119572714522043e-14,2.425069588399512e-13,0.49085962772369385,0.49085962772369385
sweep_turn_018:1:621,sweep_turn_018,0.20000000298023224,1.4854682072375986e-13,3.6277420613103653e-13,0.48741814494132996,0.4874182641506195
sweep_turn_018:1:621,sweep_turn_018,0.5,1.5543988062813297e-13,2.8608017278257145e-13,0.5464509129524231,0.5464510321617126
uturn_007:1:3745,uturn_007,0.009999999776482582,3.8493591493094554e-14,6.819650014768938e-13,0.9288100004196167,0.9288100004196167
uturn_007:1:3745,uturn_007,0.019999999552965164,5.5286379102254914e-14,9.800811924179578e-13,0.9263230562210083,0.9263229370117188
uturn_007:1:3745,uturn_007,0.05000000074505806,5.101826692002193e-14,8.904238758705799e-13,0.9194597601890564,0.9194597601890564
uturn_007:1:3745,uturn_007,0.10000000149011612,5.217327507181459e-14,8.93513056695126e-13,0.909087598323822,0.909087598323822
