figure,group,metric,model,x,nmse_linear,nmse_db,seeds
scenario,scenario,nmse_linear,latent_ode,cruise,0.4152748674553788,-3.8166435171151747,3
scenario,scenario,nmse_linear,latent_ode,highspeed,0.6993693204492644,-1.5529342300165476,3
scenario,scenario,nmse_linear,latent_ode,occlusion,334.4285410523004,25.24303334235237,3
scenario,scenario,nmse_linear,latent_ode,sweep_turn,0.7186910352052379,-1.4345777240383228,3
scenario,scenario,nmse_linear,latent_ode,uturn,0.5229359261316776,-2.8155152075443626,3
scenario,scenario,nmse_linear,neural_flow,climb_descent,0.8213358765716773,-0.8547920644723941,3
scenario,scenario,nmse_linear,neural_flow,cruise,0.8294555943700211,-0.8120685935183137,3
scenario,scenario,nmse_linear,neural_flow,highspeed,0.9574341572586379,-0.18891082761395198,3
scenario,scenario,nmse_linear,neural_flow,occlusion,67.11571563130582,18.268242252778883,3
scenario,scenario,nmse_linear,neural_flow,sweep_turn,0.9554921797852018,-0.1977286307263394,3
scenario,scenario,nmse_linear,neural_flow,uturn,0.9284309450271316,-0.3225039274158858,3
scenario,scenario,nmse_linear,tpatchgnn,climb_descent,0.3716925026502149,-4.298161989001822,3
scenario,scenario,nmse_linear,tpatchgnn,cruise,0.3633441969925036,-4.3968177157711805,3
scenario,scenario,nmse_linear,tpatchgnn,highspeed,0.42870174679259576,-3.6784474690494973,3
scenario,scenario,nmse_linear,tpatchgnn,occlusion,1554.5906703860041,31.916160570321246,3
scenario,scenario,nmse_linear,tpatchgnn,sweep_turn,0.39708501140104646,-4.0111650575573545,3
scenario,scenario,nmse_linear,tpatchgnn,uturn,0.4003023363578027,-3.9761187513511365,3
los_transition,los_transition,nmse_linear,hold,False,0.28722799682930966,-5.417732306000608,1
los_transition,los_transition,nmse_linear,hold,True,144963.59932168032,51.61258963625634,1
los_transition,los_transition,nmse_linear,linear,False,4446.844759249517,36.480519683564864,1
los_transition,los_transition,nmse_linear,linear,True,299595.2321895266,54.765348976447335,1
los_transition,los_transition,nmse_linear,kalman,False,2288.586765751705,33.59567382209187,1
los_transition,los_transition,nmse_linear,kalman,True,248599.2431620582,53.95499802137315,1
los_transition,los_transition,nmse_linear,harmonic,False,4421.103908281382,36.45530722158288,1
los_transition,los_transition,nmse_linear,harmonic,True,251870.80192755267,54.01177824914892,1
los_transition,los_transition,nmse_linear,cru,False,33.578911355380164,15.260666119921687,3
los_transition,los_transition,nmse_linear,cru,True,9317.552839784415,39.69301864314176,3
los_transition,los_transition,nmse_linear,latent_ode,False,9.109551491411416,9.594969950190858,3
los_transition,los_transition,nmse_linear,latent_ode,True,5244.790588600258,37.19728152580871,3
los_transition,los_transition,nmse_linear,neural_flow,False,3.5812848307295346,5.5403886317745545,3
los_transition,los_transition,nmse_linear,neural_flow,True,930.940140129067,29.689217565480245,3
los_transition,los_transition,nmse_linear,tpatchgnn,False,15.676848039771475,11.95258748620267,3
los_transition,los_transition,nmse_linear,tpatchgnn,True,27145.971188273645,44.337053838131425,3
