run,group,value,targets,mean_nmse_db,energy_weighted_nmse_db,median_nmse_db,p90_nmse_db,p99_nmse_db,maximum_nmse_db,fraction_nmse_below_1,mean_shape_correlation,gain_mae_db,top1_target_contribution,top01pct_contribution,top1pct_contribution,nmse_contribution
latent_ode_seed29,query_s,0.2000000029802322,1200,12.836232723515032,-1.9225600873421147,-2.6085109438018526,-0.009030019978370557,0.8866354153899553,41.073440755321464,0.9091666666666667,0.43112557015490743,7.406999617740512,0.5553151949592019,0.5553151949592019,0.9699824533073805,0.06190457301271997
latent_ode_seed29,query_s,0.5,1200,23.992654097036414,-1.2612301239172155,-1.87173445691702,0.06336495154913294,1.5277330598851881,51.54966787170249,0.835,0.3666987634753847,7.4847427229575505,0.47481029993306656,0.47481029993306656,0.9974030619928314,0.8079135085935343
latent_ode_seed29,query_los,False,664,27.447348510655864,-0.05389029745189959,0.050859470079423444,0.515406614858505,37.563712727271685,51.54966787170249,0.29518072289156627,0.05396569237152366,17.90115241688418,0.3873145897564864,0.3873145897564864,0.9563940074023473,0.9904239744143225
latent_ode_seed29,query_los,True,6536,-2.630449597506337,-1.9217100630591175,-3.309264226637234,-0.07859717321262616,0.09939233940914718,1.520734610278152,0.9608323133414932,0.4703196305165306,6.2326498828163475,0.0003979297208590726,0.0025719131340611115,0.01982956945772266,0.009576025585677486
latent_ode_seed29,los_transition,False,7136,9.79970375286352,-1.9218486574445495,-2.660277260708153,-0.0028047441384427287,0.3892216989843762,43.00096277393364,0.9024663677130045,0.4338092211036757,7.206941879104751,0.29286741959964147,0.8896863310937554,0.9399241271321364,0.18295464098452377
latent_ode_seed29,los_transition,True,64,36.77147979475879,-0.2111360421988882,-0.10149646890188609,20.30119840944196,51.356658931254735,51.54966787170249,0.5625,0.22155817179540804,18.659806087613106,0.46950349953337905,0.46950349953337905,0.46950349953337905,0.8170453590154763
latent_ode_seed43,scenario,climb_descent,1188,-3.6052082086793935,-3.6056106818803153,-4.913048357912116,-0.3052070808889401,-0.18123771733280034,0.07038312648820673,0.9991582491582491,0.5767169969790593,4.576373780315572,0.0019621973862373235,0.0019621973862373235,0.02254745008911416,0.0012599461311162542
latent_ode_seed43,scenario,cruise,1206,-3.679532135753687,-3.747199532393954,-4.25417055909789,-1.0246824310398241,-0.21774141868899233,-0.11608334412559582,1.0,0.5822167685178185,3.796529855647095,0.0018836385558647676,0.0018836385558647676,0.02222376367988137,0.0012573333981804832
latent_ode_seed43,scenario,highspeed,1206,-1.5209890023996662,-1.4120664607064015,-0.9461951887366004,-0.0014687593179347545,0.29900154021507847,1.3921826511599547,0.9021558872305141,0.3088609221007359,8.062667567169395,0.001621697538640315,0.001621697538640315,0.016917008156781883,0.0020668300398995173
latent_ode_seed43,scenario,occlusion,1188,25.355919482527625,-1.5531772499507015,-0.1128322809350575,0.2596452583995091,29.295921633173492,52.33504592716954,0.5917508417508418,0.216353023410417,13.947431633970151,0.4198519782427085,0.4198519782427085,0.9905890925042274,0.9918928196839055
latent_ode_seed43,scenario,sweep_turn,1206,-1.572091282483401,-0.8292180885493692,-0.31677403702652707,-0.028908897951122475,0.11978694626100635,0.21028658024418573,0.9253731343283582,0.3156404929518664,9.680039974233788,0.0012499437763403645,0.0012499437763403645,0.01480228257172434,0.0020426527218757587
latent_ode_seed43,scenario,uturn,1206,-2.970193010555124,-2.4382914237207927,-4.255718746693272,-0.20556173884926315,-0.08721665002522401,0.996851736404583,0.9958540630182421,0.5088081160547895,4.923325297315365,0.0020670794378956623,0.0020670794378956623,0.02007174385032094,0.0014804180250224484
latent_ode_seed43,query_s,0.0099999997764825,1200,3.7319350545331416,-2.0962293344719285,-2.7576950549943287,-0.05266421743011424,0.20447570483366403,32.923627092980496,0.9175,0.433431242264384,7.367546390046676,0.6918117879595368,0.6918117879595368,0.7568768206493645,0.006893362369162131
latent_ode_seed43,query_s,0.0199999995529651,1200,3.6385843098687394,-2.0976540256009635,-2.7595872941560002,-0.05749856820666846,0.3476149805800427,32.803496366474484,0.9183333333333333,0.4341284113859183,7.380122722579787,0.6875589815513762,0.6875589815513762,0.7517368870870569,0.006746772010377772
latent_ode_seed43,query_s,0.050000000745058,1200,11.92925221425556,-2.0847667154640974,-2.6897260855493395,-0.03433823871495383,0.39491655740869,42.20364883146611,0.9075,0.4328358860450377,7.404731262139976,0.8876840483071322,0.8876840483071322,0.9630597662547987,0.04551586755233996
latent_ode_seed43,query_s,0.1000000014901161,1200,11.349534029584971,-2.049623306893817,-2.6000736919717946,-0.012818370714952503,0.5689625574750866,41.45768266879605,0.905,0.4302676666933288,7.501790085904456,0.8543456605464373,0.8543456605464373,0.9575145478372934,0.03982823000873291
latent_ode_seed43,query_s,0.2000000029802322,1200,12.214416293547183,-1.9248653268476235,-2.3890695051071207,-0.013653534330383738,0.7980468944405229,39.825274382030926,0.9133333333333333,0.4187722485866887,7.599122290952752,0.48073369451956094,0.48073369451956094,0.9645078849915026,0.048604808113020335
latent_ode_seed43,query_s,0.5,1200,24.654114214929862,-1.2871319458801773,-1.748296638555227,0.0444034682367027,1.4000286221461375,52.33504592716954,0.8558333333333333,0.35980779633356025,7.680130116356692,0.4885532708017134,0.4885532708017134,0.9977447501459352,0.852410959946367
latent_ode_seed43,query_los,False,664,27.8787705585299,-0.06936752762073178,0.049640960961042466,0.5026673840251269,36.79838669962298,52.33504592716954,0.2876506024096386,0.05901613274090363,17.77224748016122,0.4202032987903223,0.4202032987903223,0.9689062649366784,0.9910635250791541
latent_ode_seed43,query_los,True,6536,-2.502021601332344,-1.9132688422524762,-3.1852393415020144,-0.16224645713405636,0.07685088035796057,1.3921826511599547,0.965422276621787,0.4546978564000522,6.444210390873525,0.0003750665914894824,0.0024677889965382493,0.01896242394299157,0.008936474920845892
latent_ode_seed43,los_transition,False,7136,8.86935384321536,-1.913368072346961,-2.4800891927508046,-0.006937411982379248,0.39406868207657886,42.20364883146611,0.906109865470852,0.41986281368575995,7.389283153973676,0.3019775501208465,0.8764950105065292,0.9236266595118172,0.13379706390393417
latent_ode_seed43,los_transition,True,64,37.45383319988659,-0.23914496243824807,-0.1543392488616816,21.13576737681853,52.056716850802104,52.33504592716954,0.546875,0.23360723607997613,18.59698210656643,0.4807743603663332,0.4807743603663332,0.4807743603663332,0.8662029360960658
linear,scenario,climb_descent,1188,-12.31471377649944,-11.19479232555529,-15.969115840343132,-8.669462058946538,-2.6354827245265295,0.6182216674991573,0.9991582491582491,0.9630500391777919,0.46676012983940374,0.016537775944034255,0.016537775944034255,0.12551258860015085,1.3695233569611408e-06
linear,scenario,cruise,1206,-14.053097985800635,-12.957114119131724,-20.037262584289103,-9.68193759131698,-5.0163063480728995,0.6854327906064199,0.9991708126036484,0.9739306110450087,0.4387064303734238,0.02468912905528699,0.02468912905528699,0.1290182710631849,9.316695245390446e-07
linear,scenario,highspeed,1206,-5.19572259805418,-3.500696780546072,-13.285027513072212,-2.0256123813014835,7.446557593684409,9.816071560396244,0.9295190713101161,0.8949830164838295,0.9693707264541113,0.02629251364889421,0.02629251364889421,0.25641820990661945,7.161424677658166e-06
linear,scenario,occlusion,1188,46.31952767388423,-3.720519059348915,-0.792320476430018,5.790152375962369,48.875711635455936,71.7190981296726,0.5580808080808081,0.6747741317361949,5.144137070740233,0.2918371697986105,0.2918371697986105,0.9953398535108535,0.9999852370881938
linear,scenario,sweep_turn,1206,-10.66501570212456,-8.037284184954062,-17.242275686654757,-7.957146916770301,-1.895747038255987,9.615701083052127,0.9933665008291874,0.9537459239156764,0.4597878148713512,0.08845540406801787,0.08845540406801787,0.331309434228189,2.0326851671540085e-06
linear,scenario,uturn,1206,-8.603415940734589,-8.286392987349776,-13.895068352859424,-5.1782531750424745,1.5795426120907545,7.323415322209685,0.9800995024875622,0.9234209887182979,0.6743882712240101,0.03245905101582023,0.03245905101582023,0.21511405748793783,3.2676090799707365e-06
linear,query_s,0.0099999997764825,1200,17.84136841371716,-14.863028706531447,-17.24391615929811,-6.6383282207087095,3.6178102955019584,46.87646582963707,0.9475,0.9382716522232143,0.8279110309009048,0.6673113252776118,0.6673113252776118,0.998137186214115,0.001433977932057473
linear,query_s,0.0199999995529651,1200,18.680773681516307,-14.62521476151766,-16.87246761338868,-6.389335479240406,4.101748958313483,47.721568721065935,0.9425,0.9380247010847029,0.8529686700908496,0.6681873630941196,0.6681873630941196,0.998327510165762,0.0017397345752646963
linear,query_s,0.050000000745058,1200,30.5975239024103,-13.532513204272716,-16.494924205570626,-5.332936348114467,5.5670105378598675,59.66145664846947,0.9325,0.9297355966780378,0.90769493435461,0.6717567337875333,0.6717567337875333,0.9998665802965809,0.027049423703269636
linear,query_s,0.1000000014901161,1200,33.23130422497257,-11.519167539262781,-14.976785634254007,-3.92778641642678,6.757967707818262,62.283054105755795,0.9241666666666667,0.9190767173568747,1.0976235864992971,0.6698749567792183,0.6698749567792183,0.9999085903713814,0.04960621017780015
linear,query_s,0.2000000029802322,1200,36.94692775116026,-7.844893345658662,-12.684984129519872,-0.5805450085711866,7.807669511540565,65.86198797425477,0.9091666666666667,0.888541909113604,1.4603373223394738,0.6491196799970039,0.6491196799970039,0.9999468746819343,0.11670740205549926
linear,query_s,0.5,1200,45.32560391470702,-0.30459687492888626,-6.293569452521083,3.3019054700908734,17.827282234324272,71.7190981296726,0.8075,0.7726062956120396,2.9632171935262157,0.363218679718087,0.363218679718087,0.9999695734569194,0.8034632515561088
linear,query_los,False,664,48.84599742976871,3.3221828709710537,1.631044701927514,8.336695855071065,61.55261753469076,71.7190981296726,0.2680722891566265,0.48593608348044737,7.927636714372363,0.29183810095507984,0.29183810095507984,0.9232435280722451,0.9999820464742208
linear,query_los,True,6536,-8.5438667436304,-6.699666905608669,-15.282889784623926,-5.9936777367618586,2.5953330764743567,9.816071560396244,0.9758261933904528,0.9395420267826119,0.6835606650719663,0.01048773697154864,0.06625603174095225,0.32459949283221573,1.7953525779074876e-05
linear,los_transition,False,7136,36.480519683564864,-6.664040078911696,-14.509223926708358,-1.0303094793533243,7.673473375541065,71.7190981296726,0.9152186098654709,0.9007307042433238,1.2300215532193806,0.468169377208296,0.9804066030769225,0.9999462842531224,0.623348889610031
