run,traj_id,scenario,targets,mean_nmse_db,energy_weighted_nmse_db,median_nmse_db,p90_nmse_db,p99_nmse_db,maximum_nmse_db,fraction_nmse_below_1,mean_shape_correlation,gain_mae_db,top1_target_contribution,top01pct_contribution,top1pct_contribution,nmse_contribution,target_energy_min,query_los_fraction,transition_fraction
cru_seed29,cruise_012,cruise,402,-3.8450907014750357,-3.527634989433674,-5.073066554788541,-0.42124141660375525,-0.12107270122101549,-0.10779073963940666,1.0,0.594181950065071,4.1176429154230885,0.005881714543163454,0.005881714543163454,0.023496723520130495,0.00014431217651449506,8.689300739206374e-05,1.0,0.0
cru_seed29,cruise_018,cruise,402,-9.131505312703085,-8.865619637789445,-9.54857453221791,-7.36817717514581,-5.806758989225455,-5.369881923899589,1.0,0.8847816444154996,0.9040868465756229,0.005914748540858106,0.005914748540858106,0.022346507942458724,4.2722977814986785e-05,8.74347606441006e-05,1.0,0.0
cru_seed29,highspeed_002,highspeed,402,-6.557725279262555,-5.100732461361217,-9.013567218763551,-3.924827066407377,2.3434623385101743,2.530380019254141,0.9676616915422885,0.8176443372778422,1.2101517339148782,0.020164361594882045,0.020164361594882045,0.07971298354147124,7.72750898999352e-05,8.697369048604742e-05,1.0,0.0
cru_seed29,highspeed_006,highspeed,402,-0.9866962048637068,-0.511000215755599,-0.4618717715481404,-0.06999244153471341,0.1021317173198468,0.7227054242095914,0.9825870646766169,0.21067967391874068,9.209999876532388,0.0036873478554195808,0.0036873478554195808,0.014400789631046601,0.00027870350240060223,5.675863576470874e-05,1.0,0.0
cru_seed29,highspeed_015,highspeed,402,-0.7654390310815313,-0.24272698936266307,-0.20801526996640465,0.010839722808171057,0.03663454620611772,0.04131309712981325,0.8706467661691543,0.1738429549772788,12.497966705863156,0.002995360922874635,0.002995360922874635,0.011976455895757028,0.0002932703407606719,3.6653353163274005e-05,1.0,0.0
cru_seed29,occlusion_003,occlusion,396,9.922653004157771,-6.696384880673851,-5.018343940170819,0.4711105051465652,22.483705919410816,30.652443132134508,0.6691919191919192,0.5429642733404174,8.795732997409585,0.29873343101949573,0.29873343101949573,0.7633473705604769,0.003384904967167724,1.223602774658161e-09,0.5782828282828283,0.05303030303030303
cru_seed29,occlusion_010,occlusion,396,-0.3834521099976201,-2.0351620414434866,-0.005170692737893526,0.2457746931097149,1.0638099625886759,2.2753753197885613,0.5202020202020202,0.15609165198352135,14.528303523980684,0.0046578720778562965,0.0046578720778562965,0.015743599560452612,0.00031545394919850803,4.128428656713368e-07,0.19696969696969696,0.030303030303030304
cru_seed29,occlusion_011,occlusion,396,34.600736326986436,-4.470162785963764,-3.120859467345616,0.4144669875530382,47.55193814176019,57.004486456442564,0.7045454545454546,0.49912648982475466,12.943464185948475,0.4392176935535331,0.4392176935535331,0.7985927224189169,0.9939277417117292,3.951984139244358e-12,0.5757575757575758,0.045454545454545456
cru_seed29,sweep_turn_001,sweep_turn,402,-0.7723048015056754,-0.30955674300086544,0.09834867901958314,0.23908831970249428,0.2922180051048684,0.5376618867151419,0.4253731343283582,0.19614679224514248,9.275740994446313,0.0033633387870746125,0.0033633387870746125,0.013002172539432859,0.0002928070753590297,0.000112875844934,1.0,0.0
cru_seed29,sweep_turn_009,sweep_turn,402,-6.894942955310822,-6.972536385132032,-7.354181331538823,-5.121836517274368,-4.105145220741163,-3.98244106982858,1.0,0.8137575509536326,1.7425526024423892,0.004864342380167334,0.004864342380167334,0.019368638031141753,7.15019278302939e-05,0.0001017073518596,1.0,0.0
cru_seed29,sweep_turn_016,sweep_turn,402,-0.496352832273144,-0.41071140601582506,-0.10413767096087889,-0.002315003665659893,0.05451462443606583,0.11462832554547617,0.9029850746268657,0.12902728987277648,13.477659035084853,0.002863334345935315,0.002863334345935315,0.011397187484736844,0.0003120159272380625,0.0002200492745032,1.0,0.0
