sample_id,traj_id,scenario,cutoff_s,query_s,history_count,pattern,los_transition,query_los,ablation,query_band_ms,error,energy,nmse,amplitude_nmse,shape_correlation,gain_error_db,gain_abs_error_db,run
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,2.9700786399189383e-06,3.7824604559588686e-11,78522.3984375,78013.5234375,9.569561370881274e-06,48.94986724853516,48.94986724853516,cru_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.5,18,dropout,False,False,none,200-500,2.386562982792384e-07,4.481705805081671e-12,53251.21484375,52830.234375,0.0033143500331789,47.26210784912109,47.26210784912109,cru_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,1.6578249528720337e-07,4.139908468120401e-12,40044.96484375,39677.875,0.0050555216148495,46.02425384521485,46.02425384521485,cru_seed43
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.5,18,dropout,False,False,none,200-500,6.604447844438255e-05,4.481705805081671e-12,14736460.0,14728846.0,0.0002142675220966,71.68391418457031,71.68391418457031,harmonic
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,3.983618444181048e-05,4.002917788903382e-12,9951786.0,9945698.0,0.0003019975265488,69.97896575927734,69.97896575927734,harmonic
occlusion_011:0:1628,occlusion_011,occlusion,3.256,0.5,30,bursty,False,False,none,200-500,3.146882590954192e-05,4.475314216434434e-12,7031646.0,7026395.0,0.0002582299930509,68.47055053710938,68.47055053710938,harmonic
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,1.982766843866557e-05,4.135132340710168e-12,4794929.5,4790662.5,0.0001748230861267,66.807861328125,66.807861328125,harmonic
occlusion_011:6:1631,occlusion_011,occlusion,3.262,0.2000000029802322,18,dropout,False,False,none,100-200,1.5977244402165525e-05,4.139908468120401e-12,3859323.25,3855431.75,0.0001784846826922,65.86508178710938,65.86508178710938,harmonic
occlusion_011:45:1424,occlusion_011,occlusion,2.848,0.5,16,uniform,True,False,none,200-500,2.354928255954292e-05,4.002917788903382e-12,5883029.0,5878187.5,0.0001963881077244,67.69596099853516,67.69596099853516,hold
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.5,26,bursty,True,False,none,200-500,9.111972758546472e-06,4.135132340710168e-12,2203550.25,2200665.75,9.490121010458096e-05,63.43128204345703,63.43128204345703,hold
occlusion_011:30:1371,occlusion_011,occlusion,2.742,0.5,24,uniform,True,False,none,200-500,3.951075268560089e-05,3.7824604559588686e-11,1044578.0625,1042595.8125,2.753733861027285e-05,60.18939208984375,60.18939208984375,hold
occlusion_011:25:1479,occlusion_011,occlusion,2.958,0.2000000029802322,26,bursty,True,False,none,100-200,9.111759027291557e-06,8.702209786104476e-11,104706.265625,104157.4375,0.000278556079138,50.19988250732422,50.19988250732422,hold
