family,case,model,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db,gain_bias_db,predicted_gain_below_truth_20db_fraction
cruise,pattern_random_n16,latent_ode,1200,0.050565151110859005,-12.961486905589314,-11.931203900030896,-18.481681825185795,-8.282587014891416,0.019705726737095877,0.9515476387242476,0.18245124921864164,-0.06682326056279635,0.0
cruise,pattern_random_n16,neural_flow,1200,0.04853362128107013,-13.13957303085868,-11.939166880320444,-18.683309210459242,-8.38541701425022,0.020560160151205008,0.9529605734845003,0.24308416615804543,-0.229499962546995,0.0
cruise,pattern_random_n16,tpatchgnn,1200,0.021567733501190862,-16.66195491413195,-15.363600280213541,-20.941095355079327,-12.354885736450719,0.011096701978628214,0.9800311780224243,0.20565188638320858,-0.04363609569395218,0.0
cruise,pattern_random_n16,time_rwkv_csi,1200,0.05052255235799142,-12.965147173607406,-11.826937385640761,-18.544249263831055,-8.31692323661101,0.019525790640400373,0.951894282673796,0.2196734222723717,-0.13079564462554724,0.0
cruise,pattern_random_n16,ct_transformer_csi,1200,0.023897486169007606,-16.21647781074786,-15.173138928546692,-20.416942671599745,-11.492329143274887,0.011820054348233194,0.9778940344353517,0.2593831571688133,-0.22061204191046271,0.0
cruise,pattern_bursty_n16,hold,1200,0.059511877467108815,-12.253963484960263,-11.507195998049237,-17.667301911615276,-7.124183109396145,0.009163825980980013,0.9431185891727606,0.09464888466909618,-0.0546742372212816,0.0
cruise,pattern_bursty_n16,linear,1200,0.0463222746483613,-13.34210122791487,-12.113725308607187,-18.54465620300524,-9.223223275315902,0.02628064981601104,0.9682875515520573,0.45696295522745156,0.45231978513756377,0.0
cruise,pattern_bursty_n16,kalman,1200,0.042679171433167844,-13.697840204916172,-12.458102613813418,-19.021075653967394,-9.441971830306995,0.023207731980461783,0.9695043981571992,0.38781260270816953,0.380506466435836,0.0
cruise,pattern_bursty_n16,harmonic,1200,0.07071698164513994,-11.504762842341636,-10.430748096914035,-17.20075139214125,-6.887711335116321,0.022544381824239585,0.943236160253485,0.3508434983542429,0.2946235652560608,0.0
cruise,pattern_bursty_n16,cru,1200,0.04896300224702524,-13.10131960565489,-11.92487643312113,-18.6968287166231,-8.419086580478135,0.02292512933849745,0.9532313555230697,0.3347472333758939,-0.30591090454904435,0.0
cruise,pattern_bursty_n16,latent_ode,1200,0.04988583663864119,-13.020227398033168,-11.998044393018521,-18.493526033439203,-8.300699437245967,0.01869507124134543,0.9521043957273165,0.17486687679524038,-0.06441185626942267,0.0
cruise,pattern_bursty_n16,neural_flow,1200,0.04750393161249425,-13.232704449656492,-12.049468108969968,-18.77307453807463,-8.55790927248569,0.019291754866705257,0.9539017037550608,0.23188338805825576,-0.21922690405569786,0.0
cruise,pattern_bursty_n16,tpatchgnn,1200,0.023374391476560657,-16.312596866292143,-15.017645570103186,-20.59955449503252,-11.836141610515007,0.012143899219893986,0.9782234099010626,0.20919866322001326,-0.06740268871057196,0.0
cruise,pattern_bursty_n16,time_rwkv_csi,1200,0.050980796937049794,-12.92593379877776,-11.769779067368322,-18.505820211771216,-8.320980950532894,0.019648690354927868,0.951428118844827,0.2334984238442242,-0.1553100951988866,0.0
cruise,pattern_bursty_n16,ct_transformer_csi,1200,0.026685571595444345,-15.737234903275578,-14.60638609564812,-20.16429840740198,-11.242986462151391,0.013336450735599404,0.9754403871794541,0.2575781557877023,-0.2089889060348196,0.0
cruise,pattern_dropout_n16,hold,1200,0.059511877005340164,-12.253963518658338,-11.50719601434963,-17.667301911615276,-7.124183142679222,0.009163825913986633,0.9431185878813266,0.09464886806271276,-0.05467421374387186,0.0
cruise,pattern_dropout_n16,linear,1200,0.04202361680921361,-13.765065722849684,-12.521917480833448,-19.335871881928448,-9.667787014413214,0.023938493089081022,0.9713071304063002,0.4286285943412804,0.42448640249232994,0.0
cruise,pattern_dropout_n16,kalman,1200,0.04101520382619735,-13.870551258691282,-12.57735423814074,-19.510853626905146,-9.763690566653326,0.023277367322322485,0.9714876435200374,0.3964190851246288,0.39055518113040305,0.0
cruise,pattern_dropout_n16,harmonic,1200,0.05444335492536387,-12.640551204143467,-11.391057225460282,-18.582309418000207,-8.343114144832068,0.023460082739329664,0.9595471255481243,0.36280491159631006,0.34949587289795697,0.0
cruise,pattern_dropout_n16,cru,1200,0.048151611207382906,-13.173891763116492,-11.955595676511024,-18.794678980751986,-8.390069832470067,0.021952629933524197,0.9539827607075373,0.3298623306273233,-0.3051969420890904,0.0
cruise,pattern_dropout_n16,latent_ode,1200,0.05065395983137326,-12.953865983650319,-11.924053929861248,-18.476264143499666,-8.280852609247873,0.01982245302833083,0.9514766813317934,0.18333555785785696,-0.06673810438069874,0.0
cruise,pattern_dropout_n16,neural_flow,1200,0.04864076991956002,-13.129995593691604,-11.931424167879172,-18.697283690823202,-8.41137938569725,0.02075184267558749,0.9528702975312868,0.24604614758571794,-0.23197305159971923,0.0
cruise,pattern_dropout_n16,tpatchgnn,1200,0.021767389206700804,-16.62193657367634,-15.353087629533643,-20.825050091109937,-12.364790507088466,0.011263437894109909,0.9798377868036429,0.21008508600442535,-0.0470888097940527,0.0
cruise,pattern_dropout_n16,time_rwkv_csi,1200,0.05075839032933194,-12.944921588817717,-11.823937939140801,-18.508711737406436,-8.288387308006238,0.01975176889933209,0.9517068390548229,0.2227214783491339,-0.13215390388165663,0.0
cruise,pattern_dropout_n16,ct_transformer_csi,1200,0.024038539347178204,-16.19091924886132,-15.133468055182844,-20.307225532445848,-11.429967721696784,0.012120905272652938,0.9777973931531111,0.2701813436867815,-0.23707786377444184,0.0
cruise,count_random_n4,hold,1200,0.05951187691014639,-12.253963525605208,-11.507196019528658,-17.667301911755978,-7.124183175962301,0.009163825940589353,0.9431185881793499,0.09464887892087821,-0.0546742138570653,0.0
cruise,count_random_n4,linear,1200,0.044833021745726,-13.484019886990513,-12.210364096293674,-19.350195387404977,-8.907014579304475,0.025328914889590427,0.9692486350735029,0.42045215248172096,0.41497341370798796,0.0
cruise,count_random_n4,kalman,1200,0.04197732571476081,-13.769852328407469,-12.507783947783055,-19.377024383987717,-9.253935841216759,0.022311294115582615,0.9696401331822078,0.3556609859222226,0.34554125952507697,0.0
cruise,count_random_n4,harmonic,1200,0.5179651619585881,-2.856994496716601,-2.77147443869817,-9.15811531332114,-2.456087624510887,0.26114118461180624,0.8272776505413155,0.6995833676708086,0.558431365621315,0.0
cruise,count_random_n4,cru,1200,0.04887297513322361,-13.109312225717165,-11.900581016100967,-18.7386770100994,-8.492244063459625,0.022423583053174902,0.9533715769151847,0.36907868986448306,-0.3600620950266076,0.0
cruise,count_random_n4,latent_ode,1200,0.049402320339213476,-13.062526525571021,-12.035431694404895,-18.493563932705577,-8.386457293510887,0.017620424128363083,0.9524861220022043,0.17233826748248854,-0.0643280678679912,0.0
cruise,count_random_n4,neural_flow,1200,0.047370009413765124,-13.244965289653969,-12.089406029464831,-18.709691674088894,-8.576789909901535,0.01848360768965601,0.9540345040957133,0.2794336981818431,-0.27218500225719783,0.0
cruise,count_random_n4,tpatchgnn,1200,0.025711168384635434,-15.898781873995198,-14.574671192314055,-20.363554937439158,-11.363711960825755,0.012994145941205109,0.9759484826525052,0.218812585530189,-0.0839929864384976,0.0
cruise,count_random_n4,time_rwkv_csi,1200,0.05134988830175037,-12.894604967597159,-11.7455739829308,-18.48480441895861,-8.300593064059088,0.020127839599275225,0.950753782838583,0.251377943729464,-0.19142213926445037,0.0
cruise,count_random_n4,ct_transformer_csi,1200,0.030228949771966048,-15.195769410181125,-14.080653496343059,-19.643600082281573,-10.608480021919053,0.014173655609659667,0.9718544283012549,0.2913505372184106,-0.2668525037532527,0.0
cruise,count_random_n8,hold,1200,0.05951187659874752,-12.253963548329882,-11.507196046610472,-17.667301911474624,-7.124183109396145,0.009163825941874771,0.9431185941398144,0.09464888587167328,-0.054674248554627713,0.0
cruise,count_random_n8,linear,1200,0.04204123703559162,-13.763245136279211,-12.557907834923483,-19.23121505657336,-9.485287890768946,0.023952561401941543,0.9713263387481371,0.4271779563065017,0.4224997605881557,0.0
cruise,count_random_n8,kalman,1200,0.040663715477324634,-13.90792942038881,-12.651879097531442,-19.471314708654482,-9.587850743689353,0.02236497559216029,0.9711793953677018,0.3776339413622069,0.3702662795198921,0.0
cruise,count_random_n8,harmonic,1200,0.08521174428043499,-10.695005446149317,-9.655852752999182,-18.248340760976188,-8.106741248872535,0.041345757265614035,0.9543223765554527,0.374489612825358,0.3577809370424681,0.0
cruise,count_random_n8,cru,1200,0.04841580546522892,-13.150128386492106,-11.961290487954157,-18.800542274323973,-8.439998796952032,0.022330556860306387,0.9537270998458067,0.3407093651168543,-0.3253802211929724,0.0
cruise,count_random_n8,latent_ode,1200,0.050046414558770874,-13.006270309342757,-11.976996124122003,-18.486709326556586,-8.291793071149574,0.019012148551422192,0.951959272325039,0.18017245754625758,-0.0687265437220727,0.0
cruise,count_random_n8,neural_flow,1200,0.0475672465054231,-13.226919875775984,-12.046956776664139,-18.749333165516987,-8.484783612477433,0.01934228371108475,0.95382737159729,0.23584452939364078,-0.22406397641336903,0.0
cruise,count_random_n8,tpatchgnn,1200,0.023178384203323125,-16.34916842576021,-15.069428426193292,-20.74837811029864,-11.85488896255042,0.011959465126419672,0.9785890133678913,0.21976157082924147,-0.058693588800230526,0.0
cruise,count_random_n8,time_rwkv_csi,1200,0.05120947182139692,-12.906497034906522,-11.771676654971934,-18.484310726064777,-8.30584671532127,0.019963397312919066,0.9512659001350403,0.22614908489310134,-0.13563774351435465,0.0
cruise,count_random_n8,ct_transformer_csi,1200,0.02572135921583443,-15.897060853458143,-14.849397997541775,-20.236312768839042,-11.159171163756048,0.012859508065297025,0.9761985409756502,0.2789893219146082,-0.2486376193962254,0.0
cruise,count_random_n32,hold,1200,0.05951187675670856,-12.253963536802502,-11.507196018848296,-17.66730143885103,-7.124183142679222,0.009163825949102223,0.9431185875336329,0.09464887818246098,-0.05467421721554577,0.0
cruise,count_random_n32,linear,1200,0.040553164770438646,-13.919752477732732,-12.734015590554328,-19.62962489439432,-9.978668181174202,0.023222384244824448,0.972524159103632,0.43401906894792774,0.4295088428931073,0.0
cruise,count_random_n32,kalman,1200,0.04084051102361021,-13.889088323700065,-12.591507088842231,-19.61512904212133,-9.980435565187351,0.023273866713110086,0.9717115260660648,0.3878431072539388,0.3809313363721837,0.0
cruise,count_random_n32,harmonic,1200,0.06155785023142622,-12.107165553274218,-10.816803874600007,-19.001078243033852,-7.488016706428038,0.021041695512030854,0.9508138940731684,0.3468284536785207,0.3109584865354706,0.0
cruise,count_random_n32,cru,1200,0.04832066652253464,-13.158670838020232,-11.957330465846587,-18.73974417401188,-8.364922843882063,0.02212345918060843,0.9538318365067243,0.32561276456151367,-0.29605291480283996,0.0
cruise,count_random_n32,latent_ode,1200,0.05081618091984031,-12.939979773762403,-11.910819053047847,-18.479513039500144,-8.275663271345726,0.020002313099964038,0.9513457285364469,0.18391392846293153,-0.0661140659851814,0.0
cruise,count_random_n32,neural_flow,1200,0.04911312006986312,-13.088024750298198,-11.889740043666642,-18.650351976860357,-8.373462605169108,0.02124553962557305,0.952414303869009,0.25034065981931536,-0.23653420926418525,0.0
cruise,count_random_n32,tpatchgnn,1200,0.021368478800019755,-16.70226393712027,-15.371611943165915,-21.031434339024234,-12.419287744849829,0.011073884237351497,0.9802581816166639,0.20923939099763325,-0.0393645392669229,0.0
cruise,count_random_n32,time_rwkv_csi,1200,0.050317245799742526,-12.98283138761307,-11.844205889872985,-18.560450811335528,-8.311266907449063,0.019476729832204002,0.9521947685877482,0.2230614566965653,-0.13195966645596893,0.0
cruise,count_random_n32,ct_transformer_csi,1200,0.023284074585608324,-16.3294101821441,-15.289188671432278,-20.4548578288026,-11.654236215938012,0.011390988330313122,0.978477292706569,0.2589086726593814,-0.21904585330443904,0.0
cruise,timestamps_none,hold,1200,0.059511876849307255,-12.253963530045011,-11.507196023827166,-17.66730167530349,-7.124183109396145,0.009163825959149108,0.9431185889244079,0.09464887273818097,-0.05467421503136317,0.0
cruise,timestamps_none,linear,1200,0.040601818553113844,-13.914545139623415,-12.730438484426116,-19.235854838353795,-9.753059578638164,0.02325274877572762,0.9725539991259575,0.4334807017826339,0.4292104700890195,0.0
