family,case,model,query_s,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db
climb_descent,history_reverse,tpatchgnn,0.009999999776482582,200,0.018412814328185048,-17.34879826173423,-16.473369378224753,-21.101592524220127,-12.985609583159167,0.008979059728699213,0.9820348054170609,0.1403566016064724
climb_descent,history_reverse,tpatchgnn,0.019999999552965164,200,0.031012192090565806,-15.08467534659502,-13.980289600396205,-18.02999239872245,-10.889451916697533,0.014506375362616382,0.9699057281017304,0.24710437782250666
climb_descent,history_reverse,tpatchgnn,0.05000000074505806,200,0.037057940509985204,-14.311187202033672,-13.393917139435242,-14.358015772396298,-11.638363850830983,0.012692590699152788,0.9656866732239723,0.4449829881812912
climb_descent,history_reverse,tpatchgnn,0.10000000149011612,200,0.07200706545496359,-11.426248877693526,-10.480840360831197,-12.20399881546913,-8.664472971460146,0.01498976976814447,0.9319298765063286,0.49579465338087175
climb_descent,history_reverse,tpatchgnn,0.20000000298023224,200,0.14826513059204444,-8.28960975553404,-7.242250089283053,-9.521419970359322,-5.28862094694177,0.0178018018376315,0.8591181299090386,0.49710271692965763
climb_descent,history_reverse,tpatchgnn,0.5,200,0.37309751176740974,-4.281776473121247,-3.1184493098286206,-5.617899801632982,-1.0531809540678785,0.025926559763029218,0.6679738800227643,0.7195574001118075
climb_descent,history_reverse,time_rwkv_csi,0.009999999776482582,200,0.019674755546293454,-17.06090654931051,-16.19011064142169,-21.146164690585266,-12.588736953305403,0.009771408522356069,0.9808634075522423,0.0644852434848417
climb_descent,history_reverse,time_rwkv_csi,0.019999999552965164,200,0.03482663153408794,-14.580885288981422,-13.438328948142647,-18.782276312304923,-10.249290536554751,0.017165013457706664,0.9662461882829666,0.10724518237315352
climb_descent,history_reverse,time_rwkv_csi,0.05000000074505806,200,0.029585437190253288,-15.28922008678277,-14.388930700025579,-18.287233781227172,-10.828667312035035,0.013963097823725547,0.9718997320532798,0.1833270209323382
climb_descent,history_reverse,time_rwkv_csi,0.10000000149011612,200,0.03591735079535283,-14.446957036692499,-13.623470444049117,-16.007764426232256,-10.851910059882433,0.015650478042662144,0.967018686234951,0.3765709956525825
climb_descent,history_reverse,time_rwkv_csi,0.20000000298023224,200,0.058412742862710726,-12.334924002973395,-11.166039578719287,-13.83274691022696,-8.726364978144986,0.01877149648324121,0.9461728465557099,0.42687539023230786
climb_descent,history_reverse,time_rwkv_csi,0.5,200,0.20094292153138668,-6.969272877750251,-5.710324534327129,-8.028775680940825,-3.620227808840683,0.04290527404751629,0.8116158556938171,1.1438377890177072
climb_descent,history_reverse,ct_transformer_csi,0.009999999776482582,200,0.019338191009301228,-17.13584154421747,-16.2621957397248,-21.130200014120412,-12.70627841335385,0.009551449107457302,0.9812023383378983,0.0666597343792091
climb_descent,history_reverse,ct_transformer_csi,0.019999999552965164,200,0.03367747746699024,-14.726604457707937,-13.58493573812308,-18.76933665426885,-10.324263735944324,0.016359817545308034,0.9674343320727349,0.10684986015316099
climb_descent,history_reverse,ct_transformer_csi,0.05000000074505806,200,0.029809869510063435,-15.25639925046988,-14.377355569854448,-17.533301915827657,-11.302149293631587,0.012279033247905318,0.9718174821138382,0.17691676582326182
climb_descent,history_reverse,ct_transformer_csi,0.10000000149011612,200,0.04378408554825,-13.586837163113623,-12.749789590220484,-14.33798936012587,-10.222979346701019,0.01271178171838983,0.9594662874937058,0.2664083257317543
climb_descent,history_reverse,ct_transformer_csi,0.20000000298023224,200,0.09281068934826181,-10.324020016085285,-9.326354917260062,-11.133691353151578,-7.463719992379794,0.01942211860034149,0.9134839686751366,0.6516694489854854
climb_descent,history_reverse,ct_transformer_csi,0.5,200,0.2965175052266568,-5.279496625056932,-4.162981338278529,-5.914430224799437,-2.4076783712316594,0.034374791263835504,0.7230399909615517,1.162465861190576
occlusion,main,hold,0.009999999776482582,600,0.18998235777942077,-7.21286726809209,-14.107839587811696,-14.41331455765102,-1.9448326213479445,0.06408386905112518,0.8924419967581828,0.3604120485427484
occlusion,main,hold,0.019999999552965164,600,0.4933271111233626,-3.068650169365233,-11.5771772709697,-9.983649980649155,1.4075679574197764,0.14316219037000943,0.8301603292083989,0.6255531650829653
occlusion,main,hold,0.05000000074505806,600,0.8046908573325102,-0.9437093297476896,-9.796473600343166,-7.176297527055656,4.1413180850606475,0.19753728267979265,0.8754559746012092,1.090205059282016
