family,case,model,event,n,nmse_linear,nmse_db,energy_weighted_nmse_db,median_sample_nmse_db,p90_sample_nmse_db,amplitude_nmse,shape_correlation,gain_abs_error_db
occlusion,count_random_n4,tpatchgnn,stable_nlos,582,0.7955638722050935,-0.9932494708885621,-2.149131467695844,-1.4937661791291776,1.6153629456920804,0.33238483397642155,0.5463391251935459,4.965537876761246
occlusion,history_flat,cru,future_switch_only,111,0.9195660536517263,-0.36417069355619425,-0.8911726229736133,-1.8053076994336623,1.3024452751777171,0.358967890881153,0.7642474138924668,6.421065864866382
occlusion,history_flat,cru,history_switch_only,156,0.2969759688365649,-5.272786921774838,-6.891075356791417,-9.675750874878224,-1.7424958051944448,0.10888284890190847,0.8846430875337086,1.8498305759918041
occlusion,history_flat,cru,stable_los,351,0.10273762257767051,-9.882704883814418,-10.160469643475311,-11.235960640955682,-6.557188962957755,0.059969299746535656,0.9337695921927776,1.4445638584093776
occlusion,history_flat,cru,stable_nlos,582,0.9727088941037243,-0.12017113072282426,-1.2432116071289672,-1.011426464444693,2.9357868013946615,0.26591137731066766,0.5529734145972359,2.3168415617552998
occlusion,history_flat,ct_transformer_csi,future_switch_only,111,0.8750874497717968,-0.5794854462842519,-1.0636237046011898,-1.6344471454880372,1.5278556753339387,0.35250507517133606,0.7675377654733958,6.493953782628785
occlusion,history_flat,ct_transformer_csi,history_switch_only,156,0.29836852370070305,-5.252469945509956,-6.997931386751212,-10.921837277005602,-1.1764791681934768,0.10265882751562645,0.8843777169449589,1.5317594813815771
occlusion,history_flat,ct_transformer_csi,stable_los,351,0.09447308944420825,-10.246918821812866,-10.558045739122178,-12.187699383858835,-6.508154317535717,0.05613852404983332,0.9350650677314172,1.1388891676382462
occlusion,history_flat,ct_transformer_csi,stable_nlos,582,1.0092088893421765,0.03981067227277434,-1.2108336228859993,-0.9239783008333423,3.2992833938482575,0.2715131379077867,0.5528780179124952,2.0726525266466767
occlusion,history_flat,harmonic,future_switch_only,111,1.187513435613427,0.7463853196407327,-0.9029650471658535,-1.7416154717357444,2.2501554801532175,0.4029755735225023,0.7704906046122044,5.024359532153687
occlusion,history_flat,harmonic,history_switch_only,156,0.3867495355027644,-4.125701992283554,-7.756457237092745,-10.936501420688785,-0.20526362007445326,0.11361190179536024,0.8857766297908548,1.24063884458827
occlusion,history_flat,harmonic,stable_los,351,0.08127010972113044,-10.900691539145825,-11.370896121480602,-12.217115044861291,-7.458584760384614,0.03551208651586478,0.9361839808969417,0.46564857056430753
occlusion,history_flat,harmonic,stable_nlos,582,1.1447040051572093,0.5869320235677876,-0.7531522397822792,-0.7354584114943254,4.103919425954225,0.28222782722245454,0.5534415776223561,1.6146901690375532
occlusion,history_flat,hold,future_switch_only,111,1.187513435613427,0.7463853196407327,-0.9029650471658535,-1.7416154717357444,2.2501554801532175,0.4029755735225023,0.7704906046122044,5.024359532153687
occlusion,history_flat,hold,history_switch_only,156,0.3867495355027644,-4.125701992283554,-7.756457237092745,-10.936501420688785,-0.20526362007445326,0.11361190179536024,0.8857766297908548,1.24063884458827
occlusion,history_flat,hold,stable_los,351,0.08127010972113044,-10.900691539145825,-11.370896121480602,-12.217115044861291,-7.458584760384614,0.03551208651586478,0.9361839808969417,0.46564857056430753
occlusion,history_flat,hold,stable_nlos,582,1.1447040051572093,0.5869320235677876,-0.7531522397822792,-0.7354584114943254,4.103919425954225,0.28222782722245454,0.5534415776223561,1.6146901690375532
occlusion,history_flat,kalman,future_switch_only,111,1.187513435613427,0.7463853196407327,-0.9029650471658535,-1.7416154717357444,2.2501554801532175,0.4029755735225023,0.7704906046122044,5.024359532153687
occlusion,history_flat,kalman,history_switch_only,156,0.3867495355027644,-4.125701992283554,-7.756457237092745,-10.936501420688785,-0.20526362007445326,0.11361190179536024,0.8857766297908548,1.24063884458827
occlusion,history_flat,kalman,stable_los,351,0.08127010972113044,-10.900691539145825,-11.370896121480602,-12.217115044861291,-7.458584760384614,0.03551208651586478,0.9361839808969417,0.46564857056430753
occlusion,history_flat,kalman,stable_nlos,582,1.1447040051572093,0.5869320235677876,-0.7531522397822792,-0.7354584114943254,4.103919425954225,0.28222782722245454,0.5534415776223561,1.6146901690375532
occlusion,history_flat,latent_ode,future_switch_only,111,0.7460600814555545,-1.2722619666415995,-1.0377751019249295,-1.1173893670848014,0.9528822515155394,0.4565093218818777,0.6973842893232096,9.70453595450601
occlusion,history_flat,latent_ode,history_switch_only,156,0.31183778740934287,-5.060712596763066,-5.316780399269322,-8.223573772227851,-1.0532880226993284,0.17184847021361258,0.8566916932184727,3.29576743414136
occlusion,history_flat,latent_ode,stable_los,351,0.16784623606801113,-7.750883933091552,-7.760054959035393,-10.673520282459002,-2.4848283900487727,0.13340326856320625,0.9075721969292034,2.879032915442163
occlusion,history_flat,latent_ode,stable_nlos,582,0.8969434181067659,-0.4723495269622762,-1.6342459559936104,-1.2587601032854239,2.362105213507588,0.30125950536355806,0.5420652974923613,3.4367062726275694
occlusion,history_flat,linear,future_switch_only,111,1.187513370994533,0.7463850833181024,-0.9029651497680211,-1.7416146985997025,2.2501554801532175,0.40297554855141576,0.770490585213846,5.0243595591872126
occlusion,history_flat,linear,history_switch_only,156,0.3867495411509597,-4.125701928858009,-7.756456726272556,-10.936501819557062,-0.20526376264802457,0.11361190452431075,0.8857766338027059,1.2406391376922004
occlusion,history_flat,linear,stable_los,351,0.081270105945095,-10.90069174093113,-11.370896313072663,-12.217115044861291,-7.458584760384614,0.03551208373425167,0.9361839880291213,0.4656484644177457
occlusion,history_flat,linear,stable_nlos,582,1.144704007806258,0.5869320336181347,-0.7531522573417344,-0.7354579537700705,4.103919425954225,0.2822278333918915,0.5534415748226377,1.614690299841969
occlusion,history_flat,neural_flow,future_switch_only,111,0.7462469705942649,-1.2711741888684873,-1.0708148566275764,-1.0722620563068492,1.1204449768082236,0.44344301501431643,0.677610923913685,9.357501564060783
